#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                5930.95395304126      All      1.081071743922059         0.05246434853667381       -0.8159504573831369        -0.3714633902432818       
Zeropoint     AB|PS|PS_r                4260.793618825098     All      -0.2545529662100958       0.4608939145253288        0.6813673081311756         0.2634508801138097        
Zeropoint     AB|PS|PS_g                3355.1349490055677    All      -0.563078662607854        0.1389223541231388        -0.5360716484244424        0.20474241071558444       
Zeropoint     AB|PS|PS_i                5160.743861023327     All      0.7284472684171741        0.34808239263028895       0.6808778630621888         -0.0935129018069594       
Check         All|All|All               All                   All      0.9918873835212835        1.0003630098154304        0.010223065385785102       0.0032169987791529353     
Lambda        AB|PS|PS_z                5930.95395304126      All      -0.0006918226476536868    -6.897411588626752e-05    -6.297053731036555e-05     0.00020007217203775219    
Lambda        AB|PS|PS_r                4260.793618825098     All      -0.0002216756610703879    0.00012026004505209432    -0.0003494254531120391     9.578645571535272e-05     
Lambda        AB|PS|PS_g                3355.1349490055677    All      -0.0012358281616751245    0.00017252004142304035    -0.0020641414073110692     0.000366632192279006      
Lambda        AB|PS|PS_i                5160.743861023327     All      0.00029419307599329867    0.0001533112482524442     -0.00013182245312226405    -5.177247681387772e-05    
MWEBV         All|All|All               All                   All      -0.45278584359243546      -2.4095717374891024       -0.0861258489632404        -0.6412329430633976       
Redshift      All|All|All               All                   All      2.633591406567551         -0.19639781361107111      -5.230018722092609         -1.1552123078518926       
