#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                5930.95395304126      All      1.254569605262272          -0.12094609823485314      -2.011261997164082        -0.537804103292705         
Zeropoint     AB|PS|PS_r                4260.793618825098     All      -0.4635175557096899        0.5442588232311252        0.992799279871992         0.372569993577615          
Zeropoint     AB|PS|PS_g                3355.1349490055677    All      -0.5381920878657054        0.1472317234991749        -0.5628028759564474       0.19814977764131825        
Zeropoint     AB|PS|PS_i                5160.743861023327     All      0.7370768088729776         0.43137979703740115       1.5932201697500536        -0.028477475107432926      
Check         All|All|All               All                   All      0.9899367705598541         1.001924245532848         0.011954576501516101      0.004438192818795317       
Lambda        AB|PS|PS_z                5930.95395304126      All      -0.0007562289127784077     -5.842294701292511e-05    -0.0009606164739579019    0.0001844304589033388      
Lambda        AB|PS|PS_r                4260.793618825098     All      -0.00019911107508529424    0.00024439309942276085    0.0004294561340427683     0.00016362855533287113     
Lambda        AB|PS|PS_g                3355.1349490055677    All      -0.0009885470198281645     0.00033505063135088264    -0.0005378564759839045    0.0004071372358206033      
Lambda        AB|PS|PS_i                5160.743861023327     All      0.0006914640903242707      0.00030976525886391765    0.002008507950825717      -3.4701381823201907e-05    
MWEBV         All|All|All               All                   All      -0.3986203476252257        -2.4471482161946057       -0.2474627657399031       -0.6783160480377026        
Redshift      All|All|All               All                   All      -0.7579221326154135        -2.1576833901276515       -25.673893645864144       -1.601656249835709         
