#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6980.725540224685    All      1.0399066977161806         -0.24475024802406153       1.533539131016104         -0.3500202230589694       
Zeropoint     AB|PS|PS_r                5763.399935655958    All      0.4132967233137783         0.46768331776014804        -4.125931400523075        -0.16640586561084414      
Zeropoint     AB|PS|PS_g                4538.352776295198    All      -0.8002228499649646        0.9144052844806794         1.9948833520955223        0.6475332748152217        
Zeropoint     AB|PS|PS_z                8022.556990395176    All      0.3500328165128015         -0.1409288386284402        0.691108441041377         -0.129081367660773        
Check         All|All|All               All                  All      1.003013387577796          0.9964095155883257         0.09359952362992852       0.002025818484635178      
Lambda        AB|PS|PS_i                6980.725540224685    All      -0.0009082875723656896     0.00021901937527406124     -0.0019921491506323407    0.00027830049316062544    
Lambda        AB|PS|PS_r                5763.399935655958    All      -0.00019402733274161816    -5.049056716117836e-05     -0.0003343354812207061    3.183478978931696e-05     
Lambda        AB|PS|PS_g                4538.352776295198    All      -9.070587600183417e-05     -3.9476199163802264e-05    -0.0005337604396949224    -7.132085798101778e-06    
Lambda        AB|PS|PS_z                8022.556990395176    All      -1.638370291245905e-05     -9.430229372998414e-05     0.00013826151620566026    -1.921067201868066e-05    
MWEBV         All|All|All               All                  All      -0.5933451806138419        -3.8237723800914836        0.4482403891231779        -1.032253506895038        
Redshift      All|All|All               All                  All      5.579516261927662          -0.5635091707066664        17.72155940450374         -1.2101536788981486       
