#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6980.725540224685    All      1.0844952444868292         -0.2548301397089503        1.6708704928706206        -0.3616990640627051       
Zeropoint     AB|PS|PS_r                5763.399935655958    All      0.31945717702603194        0.6350394629173195         -4.245153401544824        -0.08664616616298157      
Zeropoint     AB|PS|PS_g                4538.352776295198    All      -0.8375251660809107        0.8237699732418946         1.5133505296583925        0.6086723654351809        
Zeropoint     AB|PS|PS_z                8022.556990395176    All      0.4185259633724766         -0.1943280141855297        0.9066810454172146        -0.15916569196607425      
Check         All|All|All               All                  All      0.984953218804427          1.009651282264734          -0.15425133359859655      0.0011614432434200184     
Lambda        AB|PS|PS_i                6980.725540224685    All      -0.0009618113721203371     0.0002659772735889903      -0.002232573199191637     0.0003003016669120759     
Lambda        AB|PS|PS_r                5763.399935655958    All      -0.00013695124153256338    -5.9548153135131996e-05    -0.00033227791871322      1.0384694962123857e-05    
Lambda        AB|PS|PS_g                4538.352776295198    All      -0.00016351895656862311    -1.4695009318609961e-05    -0.0005880180910456943    2.2236309047802295e-05    
Lambda        AB|PS|PS_z                8022.556990395176    All      -4.568891622411013e-05     -6.015581940342971e-05     0.0005273977951244795     1.8822995033463882e-05    
MWEBV         All|All|All               All                  All      -0.6000748422416575        -3.824708442254021         0.31896953140858003       -1.036135105605664        
Redshift      All|All|All               All                  All      5.845120871673873          -1.2510385148271297        17.035602641352614        -1.5512318647021808       
