#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3344.5936299344125    All      -0.5139804169353729       0.10560392462100054        -0.13501241763421376      0.1957940196548815         
Zeropoint     AB|MEGACAMPSF|r           4260.134758834249     All      -0.6547918400011188       0.5443264988134189         0.16294430859027864       0.39786374888970877        
Zeropoint     AB|MEGACAMPSF|z           5999.8051452743       All      0.3396302725582877        0.0060743336158353145      -0.18207140630279112      -0.11677515361756835       
Zeropoint     AB|MEGACAMPSF|i           5208.2579456238955    All      1.8113226554259843        0.3444636581628302         0.14807762254237208       -0.4711962094380616        
Check         All|All|All               All                   All      0.9821806710477802        1.000468415213085          -0.006061892804354152     0.005686405488960322       
Lambda        AB|MEGACAMPSF|g           3344.5936299344125    All      -0.0006667411038345106    0.00014588544986210482     -7.819464447485048e-05    0.00026120973531060617     
Lambda        AB|MEGACAMPSF|r           4260.134758834249     All      -0.0005563071166096876    3.233094081909636e-05      -0.002412038919436947     8.410056204101704e-05      
Lambda        AB|MEGACAMPSF|z           5999.8051452743       All      -4.802809631052231e-05    -1.1779080399022805e-06    2.318610504724633e-05     1.629533702348299e-05      
Lambda        AB|MEGACAMPSF|i           5208.2579456238955    All      0.0005630842134686278     7.895250381359975e-05      -0.0003967494671254852    -0.00017540273180821484    
MWEBV         All|All|All               All                   All      -0.4592201692034319       -2.4095027005891723        -0.09250993342913018      -0.6393994763079907        
Redshift      All|All|All               All                   All      3.495340580202288         -0.16226481867782638       -0.10811899946330315      -1.196227264432113         
