#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3344.5936299344125    All      -0.6664025049310058        0.10231417939934317       -0.32702071277166955       0.23580288165492846        
Zeropoint     AB|MEGACAMPSF|r           4260.134758834249     All      -0.48381463745601905       0.6004543764337456        0.6866617621717863         0.3838246499372311         
Zeropoint     AB|MEGACAMPSF|z           5999.8051452743       All      0.2715234334017259         0.0056427253721125226     -0.2091173565222204        -0.09593804100102854       
Zeropoint     AB|MEGACAMPSF|i           5208.2579456238955    All      1.8597129930653566         0.2914024176622121        -0.15823434549183113       -0.517911622389422         
Check         All|All|All               All                   All      0.9810192840800576         0.9998136988674133        -0.007710652613934776      0.005777868201709002       
Lambda        AB|MEGACAMPSF|g           3344.5936299344125    All      -0.0012246166621280726     0.000191148042360617      -0.0005490099480819145     0.0004366613490558526      
Lambda        AB|MEGACAMPSF|r           4260.134758834249     All      -0.0005494481315089186     0.00014394571203927574    -0.002113725512041195      0.00013153532521125425     
Lambda        AB|MEGACAMPSF|z           5999.8051452743       All      -2.6830749429081088e-05    2.200130761316477e-08     -1.7587676422025073e-06    8.668338622056192e-06      
Lambda        AB|MEGACAMPSF|i           5208.2579456238955    All      0.0007800412198993178      0.00010626236581923854    -0.0005092975341783168     -0.00024219954927117546    
MWEBV         All|All|All               All                   All      -0.45817303699918766       -2.4257825033942026       -0.1764066473882442        -0.6487873541000666        
Redshift      All|All|All               All                   All      3.01906649186815           -0.7133045683996642       -0.9904222929887907        -1.2599540437808725        
