#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          3699.521817393281     All      -0.6378886381654717       0.5605136248695075        0.4590997058707802         0.41084655463820074       
Zeropoint     AB|DECam|DECam_i          5973.467148002242     All      1.216909782108723         0.2700890936516487        0.3993460298326812         -0.290589668524429        
Zeropoint     AB|DECam|DECam_z          7000.024953264304     All      0.41861448042517657       0.08116036745988708       0.5132639040672959         -0.08701529580067424      
Zeropoint     AB|DECam|DECam_r          4916.9393296460585    All      0.0001551101601838939     0.08763264585383013       -1.3620878116094692        -0.0322894118882251       
Check         All|All|All               All                   All      0.9977907345286118        0.9993957318348734        0.009621828161288093       0.0009521784248723783     
Lambda        AB|DECam|DECam_g          3699.521817393281     All      -0.0011329669920280632    0.0007387301755558267     -0.0008754997075919184     0.0005706038135647548     
Lambda        AB|DECam|DECam_i          5973.467148002242     All      -8.80616876611176e-05     -3.214534851564527e-05    -0.00012996709910971348    1.2413956536625924e-05    
Lambda        AB|DECam|DECam_z          7000.024953264304     All      -0.0003808695755048417    -0.0001026431865621661    -0.0007109044718091351     5.8903086744242365e-05    
Lambda        AB|DECam|DECam_r          4916.9393296460585    All      -6.97515443903413e-05     3.656981682476776e-05     -0.0006327141212664601     6.3972399353759e-06       
MWEBV         All|All|All               All                   All      -0.4773337231044117       -2.8100977364712065       0.17516425270476255        -0.7520412087121312       
Redshift      All|All|All               All                   All      6.379910648776556         0.3212064985131491        7.532498132474396          -1.6373784710470407       
