#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3893.0309954935024    All      -1.0588558706101945        0.5488900415583586         -0.33406805441709153       0.5087878139131634        
Zeropoint     AB|SDSS|SDSS_i            6168.910226783795     All      1.3516570662801648         0.07953950934194154        0.5756568560981834         -0.38868161812793883      
Zeropoint     AB|SDSS|SDSS_z            7334.320027601103     All      0.169535435998065          0.012988205497421745       0.318444615687663          -0.03678186259004346      
Zeropoint     AB|SDSS|SDSS_r            5087.02771537399      All      0.534963787736578          0.3575487100500041         -0.5594977237183663        -0.08275774131465477      
Check         All|All|All               All                   All      0.9973004194046133         0.998966466447726          0.0005356936503886356      0.0005665918805263515     
Lambda        AB|SDSS|SDSS_g            3893.0309954935024    All      -0.0010220953200104797     0.0005320412963953734      -0.0002604239475197541     0.0004946119008454876     
Lambda        AB|SDSS|SDSS_i            6168.910226783795     All      -0.00028395733178152       -6.467535748553079e-05     -0.0010992011223129427     2.2375055550200675e-05    
Lambda        AB|SDSS|SDSS_z            7334.320027601103     All      -2.3658447902359295e-05    -1.6511845548085298e-06    -4.7677054332739965e-05    5.040881727676023e-06     
Lambda        AB|SDSS|SDSS_r            5087.02771537399      All      -0.0002647820130914659     -3.97012823554921e-05      -0.002581865470618315      -4.190059893769881e-05    
MWEBV         All|All|All               All                   All      -0.5756853275753469        -3.175349478634537         0.0016598120040400843      -0.8467220706236601       
Redshift      All|All|All               All                   All      7.019468478719261          0.7751444400412311         10.909401662486218         -1.5471452804291266       
