#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5793.433023488445     All      1.086858245226964          0.11865841084706119       -0.9952777565396278       -0.3597892140149289        
Zeropoint     AB|SDSS|SDSS_g            3656.0775731234535    All      -1.1626584487521634        0.3542553436924223        -0.6740547001025606       0.4640287617363307         
Zeropoint     AB|SDSS|SDSS_z            6887.908932156699     All      0.14714405770178404        0.014367960636008092      0.2324624258177726        -0.03287581261522512       
Zeropoint     AB|SDSS|SDSS_r            4777.400427986735     All      0.9257517923869854         0.5116928029853085        1.4406951193742779        -0.07058102867993511       
Check         All|All|All               All                   All      0.9970956465635696         0.9989745181608001        0.003825088549862077      0.0007827064262415223      
Lambda        AB|SDSS|SDSS_i            5793.433023488445     All      -0.00029299725348329346    -1.067930223342149e-05    0.0004013850993251633     0.00010987221819459914     
Lambda        AB|SDSS|SDSS_g            3656.0775731234535    All      -0.002257446948893095      0.00048005951843380085    -0.0027866351131545742    0.000767341191148117       
Lambda        AB|SDSS|SDSS_z            6887.908932156699     All      -8.423579626127436e-05     -8.649057337699304e-06    -0.0001692575217082534    1.7067901775095878e-05     
Lambda        AB|SDSS|SDSS_r            4777.400427986735     All      -0.00010418670789472893    -5.480881718721878e-05    -0.0007936416549686871    -1.9332578509185662e-05    
MWEBV         All|All|All               All                   All      -0.5508382984467173        -2.8761779690015032       0.08836489496142172       -0.7534963126856911        
Redshift      All|All|All               All                   All      6.161096041200529          -0.8734955034174874       0.4000699917520171        -2.273544610992831         
