#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6207.246474375106    All      2.9452970993456864        -0.8255573604357025      0.4029869776274766         -1.2103078970183794        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5183.50008281365     All      -1.9480944535528248       1.829012172583866        -0.40419657073228094       1.2122904547056574         
Check         All|All|All                            All                  All      0.9972026457928617        1.0034548121481635       -0.0012095931048043407     0.0019825576872780637      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6207.246474375106    All      -0.0004884350832602302    8.915216705206011e-05    -0.00042891056261840576    0.00016899886098813312     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5183.50008281365     All      3.1988079654116357e-06    -0.000141054912459812    -0.0014404344928609014     -0.00011126815828897952    
MWEBV         All|All|All                            All                  All      -0.511730932935786        -2.9534016649211736      -0.013430990292780283      -0.7959318493991853        
Redshift      All|All|All                            All                  All      4.3783572204146965        0.4338455866191637       4.848785035491657          -1.0684782032355622        
