#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6207.246474375106    All      2.9385595920764493         -0.8394342873163652       0.49940404368777336        -1.2083307900350455       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5183.50008281365     All      -1.9415749060395122        1.8423996233083884        -0.5067267792327079        1.2099521044276937        
Check         All|All|All                            All                  All      0.996984686036937          1.0029653359920232        -0.007322735544934567      0.001621314392648232      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6207.246474375106    All      -0.0003586134512176857     6.1120618282088e-05       -0.00032958285211722886    0.00012201342630609555    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5183.50008281365     All      -0.00011784136557335556    -9.088357505399901e-05    -0.0018265376008337738     -7.272894488432263e-05    
MWEBV         All|All|All                            All                  All      -0.5119077194232493        -2.953362274402771        -0.014708127349466471      -0.7959184261975241       
Redshift      All|All|All                            All                  All      4.444718893913587          0.23727933143931068       5.323589634754819          -1.1329341311116827       
