#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.289795440536     All      0.5509835818257712        0.2853446642209434         -0.22980811560531986       -0.09678261545366666      
Zeropoint     AB|CNIa02|SDSS_g                      4672.7457248806495    All      -0.4524918144882756       0.4706032616110356         0.19729679173628245        0.30948688487530357       
Zeropoint     AB|CNIa02|SDSS_i                      7404.448853025991     All      0.6024499972960116        -0.10680902675446191       0.25760375305355837        -0.21953332569450684      
Zeropoint     AB|CNIa02|SDSS_r                      6105.881776148027     All      1.0340625424372314        -0.11566897323653791       -0.08506671756612576       -0.3783015166059703       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.5867820497115    All      -0.7362720109498577       0.4634048874168073         -0.14023857818375496       0.38451603034380805       
Check         All|All|All                           All                   All      0.998732296120881         0.9968748132577865         -0.00021286656535973725    -0.0006145425350321809    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.289795440536     All      6.25520491247392e-05      -5.222884809485275e-06     -0.0009291785726658452     -6.354149784672484e-05    
Lambda        AB|CNIa02|SDSS_g                      4672.7457248806495    All      -8.12016977313777e-05     1.1253119327122179e-05     -0.0002641562878782977     1.832749368702707e-05     
Lambda        AB|CNIa02|SDSS_i                      7404.448853025991     All      -6.874286570843152e-05    -3.2989526263341606e-05    -0.00041564964881582575    -6.902495909667167e-06    
Lambda        AB|CNIa02|SDSS_r                      6105.881776148027     All      3.8092992307867997e-06    -3.0408124145581467e-05    -0.00028870257096760734    -2.402921029281123e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.5867820497115    All      -0.0003785782648165882    0.0001423187880835098      -0.0005757095070266828     0.0001439820359731083     
MWEBV         All|All|All                           All                   All      -0.8560788236454107       -4.056978827660096         0.033912751539880714       -1.0411250674442092       
Redshift      All|All|All                           All                   All      4.560891113900073         0.13755244654021226        2.8977582238931054         -1.3115132868685688       
