#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.289795440536     All      0.5558738328946953        0.3176144541521708         -0.22776715659901248      -0.08777312025947531       
Zeropoint     AB|CNIa02|SDSS_g                      4672.7457248806495    All      -0.3526719575410103       0.36665157892397104        0.15453249952112058       0.24120341657960093        
Zeropoint     AB|CNIa02|SDSS_i                      7404.448853025991     All      0.5560400117724985        -0.10856588417480495       0.21770566624765286       -0.20676880119588764       
Zeropoint     AB|CNIa02|SDSS_r                      6105.881776148027     All      1.0831937724562235        -0.14627615629283497       -0.20195154891096134      -0.4094909742507688        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.5867820497115    All      -0.8435385079521209       0.5671783992966084         0.05596314663742219       0.4620142861036014         
Check         All|All|All                           All                   All      0.998897151630286         0.9966023919051104         -0.0015173931037781863    -0.000815193022929428      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.289795440536     All      -8.794275800538953e-06    4.6807252021509755e-05     -0.0010325330130095678    -2.7965959270443675e-05    
Lambda        AB|CNIa02|SDSS_g                      4672.7457248806495    All      8.644870672159857e-05     -2.415839008465499e-05     -0.000380357404244312     -5.3001974328248964e-05    
Lambda        AB|CNIa02|SDSS_i                      7404.448853025991     All      -8.861019475106524e-05    -4.238791032577575e-05     -0.0005296867328394194    -8.581367418146898e-06     
Lambda        AB|CNIa02|SDSS_r                      6105.881776148027     All      2.102440949073591e-05     -3.9094511920561526e-05    -0.0003835404730056648    -3.6698360329991376e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.5867820497115    All      -0.0005732125436162475    0.00023962717275056398     -0.000510056940324163     0.00024200713861316001     
MWEBV         All|All|All                           All                   All      -0.8482222260336427       -4.063618541311698         0.028875189234212062      -1.0460717962061785        
Redshift      All|All|All                           All                   All      4.687969518072609         -0.23372602789972774       4.228943720494637         -1.4144398228874824        
