#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5136.404759777053     All      -0.00949149225657786       0.6654161185664975        -0.1786308522807145       0.21186813813049432        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4153.3349961258145    All      -0.7218886249922164        0.4753211636815635        0.29334269016194625       0.40306115219086863        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7210.95134747617      All      0.7648333166916708         -0.20289269321880354      1.2840542431105662        -0.25791875524570906       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5918.752454073653     All      0.9626714426751715         0.05888902095563253       -1.4054592756130413       -0.3571108607421908        
Check         All|All|All                                All                   All      0.9961246421180477         0.99673360998489          -0.0066931946212434035    -0.00010032566653683794    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5136.404759777053     All      -0.00022708728779834421    6.197533581405498e-05     -0.0013012851656415661    3.6086826032411925e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4153.3349961258145    All      -0.00029767433094373384    0.0002115960055727327     0.0001423971962659927     0.00017224063596251062     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7210.95134747617      All      -0.00046433150904632295    0.00017147597985233746    -0.001044448867296684     0.0001604944606120569      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5918.752454073653     All      -0.0002582143797292164     3.3724436215965596e-05    -0.0005307758240731561    7.140798959190866e-05      
MWEBV         All|All|All                                All                   All      -0.7656726925495438        -3.8146319694172703       0.1850867366613107        -0.9848867732720284        
Redshift      All|All|All                                All                   All      9.115312303861513          -0.925655787828461        16.585820800880178        -2.5305246390779774        
