#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5136.404759777053     All      -0.1679959956924263        0.7625721438534683        -0.9097377300772095       0.26251924121345827       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4153.3349961258145    All      -0.7603060898339166        0.4438946259092802        0.8999198032823691        0.4324070777826975        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7210.95134747617      All      0.9774403375578748         -0.33318472512844366      2.0905424857917723        -0.33362239157421686      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5918.752454073653     All      0.9449918271328901         0.1252889329593998        -2.107854709741932        -0.3610680747257769       
Check         All|All|All                                All                   All      0.9941300791644222         0.9985709775937046        -0.027130150745000137     0.00023585269616199778    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5136.404759777053     All      -0.0001808608518563039     0.000124608735937254      -0.0018061547251500135    1.8901104380457986e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4153.3349961258145    All      -0.0004634607855779687     0.0002339392264577407     0.00031671346284982947    0.00024129959493359482    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7210.95134747617      All      -0.0005149262718034261     0.0002741413074479045     -0.0017971287448474242    0.00017682766814567866    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5918.752454073653     All      -0.00021602512238423302    5.5425778760208716e-05    -0.0008952144190843916    4.847118101950491e-05     
MWEBV         All|All|All                                All                   All      -0.7528862073684928        -3.837690752747669        0.21643932156324594       -0.9951636346335543       
Redshift      All|All|All                                All                   All      9.347641396683882          -1.8803564899807945       24.288639804410096        -2.57343786106205         
