#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4160.702326586015     All      -0.9081187382164753        0.41193482728605346        -0.2670034634811899       0.41806973648391066        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5214.127775082274     All      0.7999231770450246         0.13667369802252693        -0.1538390802642724       -0.22290730717221596       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5905.396865258404     All      1.0163220232786054         -0.04528904217755425       -1.8219427419576284       -0.427106586678943         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7166.060035965242     All      0.49142439860351117        0.008626585872573145       1.3127434875406414        -0.09868141854653752       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4479.8278674928315    All      -0.4007088568049274        0.48554367369444407        0.9301535459676088        0.3301900867416723         
Check         All|All|All                      All                   All      0.9988420039057389         0.9974897426980434         0.00011174780515965654    -0.00043548917211355676    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4160.702326586015     All      -0.0002970834283895032     0.00015007159725229704     2.001401347019231e-05     0.00014654623631505428     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5214.127775082274     All      8.541379088421835e-05      2.054711644373723e-05      -0.000938192641513314     -6.2996438543259e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5905.396865258404     All      -0.00011033447376225527    -1.0715104273832322e-05    -0.0005149093955425938    9.471264592536677e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7166.060035965242     All      -0.00022195162941286427    -3.411284303725619e-06     -0.000575543914449911     4.550189864153122e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4479.8278674928315    All      5.297044062731508e-06      1.8701046568245245e-05     0.00010049032036399114    8.850546057127207e-06      
MWEBV         All|All|All                      All                   All      -0.8016736442027974        -3.8458898500861594        0.1278406508686014        -0.985896428897187         
Redshift      All|All|All                      All                   All      6.980017169204128          0.012409750828545896       18.39087322626328         -1.4488787577776914        
