#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4160.702326586015     All      -0.8339631223141875        0.43354280628378206        -0.15788217796940396      0.4058228241746453         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5214.127775082274     All      0.5023941718878954         0.17636608260049869        -0.2271410755377956       -0.11633433766647383       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5905.396865258404     All      0.9609090223504516         -0.09376082200311942       -2.317588402870896        -0.4469639920348156        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7166.060035965242     All      0.9896533044034066         -0.032121050375089055      2.383964127771504         -0.2264401528579152        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4479.8278674928315    All      -0.6150597957964298        0.5131941121856443         0.3427312685088779        0.3828039386865767         
Check         All|All|All                      All                   All      1.0039335805311362         0.9972211286917165         0.024083739902286183      -0.0011117196979826272     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4160.702326586015     All      -0.000570824955194746      0.0002938115589633894      -8.127553694969926e-05    0.0002780136044286732      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5214.127775082274     All      0.00031027737398782186     6.370943565436874e-05      -0.0007448892642769991    -0.00011355627607146646    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5905.396865258404     All      0.0003885613729283189      -2.8175018645702312e-05    0.00015822782893493777    -0.00012868377166447387    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7166.060035965242     All      -0.00022207117535176578    1.2513656330184801e-05     -0.0004914196622888414    5.4482194771459064e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4479.8278674928315    All      -0.00021447140782935277    0.00016637725928467952     0.0001403231425141135     0.0001303169177975459      
MWEBV         All|All|All                      All                   All      -0.7975416663864703        -3.8527527337146594        0.11331382569156334       -0.9901260824783209        
Redshift      All|All|All                      All                   All      5.589795724118609          -1.3910267675094623        15.955903993342373        -1.5618448353551029        
