#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5228.591830685826     All      0.18379656473316414        0.42566447789056383       -0.3082319389027144        0.06502936075821752        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5289.531991223412     All      0.15985645100887363        0.20448755904549643       0.4954106372906941         0.03664572161089508        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4675.702443691096     All      -0.523707980889289         0.4434168146499218        -0.4435058293111749        0.2952327351542605         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4280.186181893112     All      -0.3657321048194877        0.1812306980476741        -0.0006437551301696764     0.1781350516007585         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6095.203146590335     All      0.49081891229090946        -0.2055640330495656       0.5525927063115943         -0.20217516109960476       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7400.080955804793     All      0.2823950021913647         0.010634568710976566      0.05888264068280025        -0.08589365202177346       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6052.477861992851     All      0.7396996720061375         -0.03918886349794093      -0.7809663675575562        -0.2885605628206722        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7425.925257745139     All      0.23519066509687575        -0.15700550574848648      0.32562034321028666        -0.11322025531776969       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3497.8714484553707    All      -0.09657227788985899       0.04231543575414776       0.010641613252737603       0.04571518392821883        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4277.154811535694     All      -0.11201048557526727       0.09133088694159852       0.08669888239964951        0.07010394768912631        
Check         All|All|All                                All                   All      0.9937344181534223         0.997322038744386         -0.003501067753852727      0.0010123694816566164      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5228.591830685826     All      -6.426771462293945e-06     0.0003196295665842094     -0.0017693259575074039     2.7250384973286317e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5289.531991223412     All      9.33126747989331e-05       0.00016548328903320673    0.00029404018989939837     3.6630006596251214e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4675.702443691096     All      -0.0005757682661781963     0.00020721321460743023    -0.0011562628150162942     0.00020344412870631733     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4280.186181893112     All      -0.0004402818134194732     0.00016683746518068087    -0.0001040978433044335     0.00019311331402848428     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6095.203146590335     All      8.943421673114917e-05      -3.165902354259471e-05    -5.901614864486357e-05     -4.207767186908475e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7400.080955804793     All      -9.266854722183921e-06     6.689214472249015e-05     -0.00031297708740383643    1.0840761716725888e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6052.477861992851     All      0.00015389864243068148     -9.737769435204033e-07    -0.0012681620245493367     -0.00010703928883956386    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7425.925257745139     All      -9.40298230916347e-05      7.885254121274992e-05     -0.0001983739466633018     4.74609555737825e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3497.8714484553707    All      -0.00043977220813880665    0.00014478467762322092    5.66242117935807e-06       0.00019066209689368069     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4277.154811535694     All      -0.00012073186470254806    0.00010201327851877295    0.0001132633893086356      7.760984610964302e-05      
MWEBV         All|All|All                                All                   All      -0.8777350440609979        -3.952972446466063        0.06159422040072915        -0.9989573271042884        
Redshift      All|All|All                                All                   All      9.145546769634535          -3.774556153825692        21.80574477871823          -3.2354123416207914        
