#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4328.677388584039     All      -0.7276484691336778        0.5977967622735392         0.030404342465639722      0.43309792388436796       
Zeropoint     AB|MEGACAMPSF|z           6096.6028244810195    All      0.6957051663683578         -0.021824860191266282      -0.26429621194976605      -0.24551746175789646      
Zeropoint     AB|MEGACAMPSF|i           5293.28073863023      All      1.5959746865804012         0.2868767142750528         0.40467067495735254       -0.40835768398573         
Zeropoint     AB|MEGACAMPSF|g           3394.3086978164265    All      -0.5681188891857782        0.13879760872193003        -0.19092577323780446      0.22174581986127984       
Check         All|All|All               All                   All      0.995912494629303          1.0016462250792557         -0.02014696776457825      0.0009685980020213147     
Lambda        AB|MEGACAMPSF|r           4328.677388584039     All      -0.00042024915399589067    3.819343868697016e-05      -0.0017362111441853855    7.185070551448307e-05     
Lambda        AB|MEGACAMPSF|z           6096.6028244810195    All      -0.00010171313461417092    -2.9352715204974156e-06    -8.529088295243787e-05    2.83690593254689e-05      
Lambda        AB|MEGACAMPSF|i           5293.28073863023      All      0.0007336335493656366      6.926434465571576e-05      -0.0006965161956375328    -0.0002474892258997599    
Lambda        AB|MEGACAMPSF|g           3394.3086978164265    All      -0.0012257682785765433     0.00026221418996019735     -0.0006877255974371828    0.0004539948083673767     
MWEBV         All|All|All               All                   All      -0.35572030031319235       -2.478912076873563         -0.0018936643337852388    -0.6916779181023125       
Redshift      All|All|All               All                   All      1.5292307601952289         -0.7309775427522425        -2.4062756111578043       -0.8436052318163162       
