#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4328.677388584039     All      -0.6848385978522784        0.569827580470772         -0.17058117181344812       0.4010737973239766         
Zeropoint     AB|MEGACAMPSF|z           6096.6028244810195    All      0.6398206331823357         -0.010810367038160962     -0.20557703908121996       -0.22110588096893286       
Zeropoint     AB|MEGACAMPSF|i           5293.28073863023      All      1.5062572459125034         0.31648318665613573       0.46634540911895966        -0.3667376997417167        
Zeropoint     AB|MEGACAMPSF|g           3394.3086978164265    All      -0.4750792583431106        0.12471328735301768       -0.09176873484754489       0.19127694756417415        
Check         All|All|All               All                   All      0.9861600228994502         1.0002136874417644        -0.0015815366232532768     0.004507164177501161       
Lambda        AB|MEGACAMPSF|r           4328.677388584039     All      -0.000350198596976243      -9.946986871834838e-05    -0.0018641209735743658     -1.5165619289229762e-06    
Lambda        AB|MEGACAMPSF|z           6096.6028244810195    All      -0.00016668589217331455    -4.223098110560424e-06    -6.56162384269561e-05      4.999132553689288e-05      
Lambda        AB|MEGACAMPSF|i           5293.28073863023      All      0.0005145441038774959      2.8677573520374326e-05    -0.0006851497770635641     -0.00018883780124261563    
Lambda        AB|MEGACAMPSF|g           3394.3086978164265    All      -0.0009349631825134498     0.00020916092218254233    -0.00048382992040098174    0.0003510877542674455      
MWEBV         All|All|All               All                   All      -0.4037913752786655        -2.4649481857506927       0.018371031679857187       -0.6705667684468688        
Redshift      All|All|All               All                   All      1.412598703042022          -0.09515505265724755      -2.9801348864428205        -0.6241147345739205        
