#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3867.4631657063237    All      -1.1601519803714375        0.49812965881237403       -0.6755032265970654       0.5100122791987015         
Zeropoint     AB|SDSS|SDSS_r            5053.618205174893     All      0.9863187021084949         0.4936743553207279        1.3171098738627585        -0.10169390686272607       
Zeropoint     AB|SDSS|SDSS_z            7286.151223836769     All      0.10627348341222356        0.0003250047894809427     0.09613748576102601       -0.030220730642828035      
Zeropoint     AB|SDSS|SDSS_i            6128.395356279714     All      1.0653577667167329         0.006477280864203294      -0.7367326345975087       -0.3777892041669017        
Check         All|All|All               All                   All      0.9977979718660136         0.9986062997867862        0.0010114984292103335     0.0003084375262457084      
Lambda        AB|SDSS|SDSS_g            3867.4631657063237    All      -0.0015216489721392751     0.0004589822783620683     -0.0020651704418037757    0.0005529976872880216      
Lambda        AB|SDSS|SDSS_r            5053.618205174893     All      -6.471653633985174e-05     -5.12328728111346e-05     -0.001227295986175783     -5.0376510285786696e-05    
Lambda        AB|SDSS|SDSS_z            7286.151223836769     All      -2.9379264866239948e-05    -8.699527994382243e-07    -4.807109009643339e-05    7.1412289001922965e-06     
Lambda        AB|SDSS|SDSS_i            6128.395356279714     All      -0.00023150944373295185    -2.979486053833718e-05    -0.0005603845689094913    4.0697686401959075e-05     
MWEBV         All|All|All               All                   All      -0.5477978145277933        -3.138657768429276        0.10923940277473775       -0.8390534709190045        
Redshift      All|All|All               All                   All      7.100221904765497          1.065448591699436         8.405278641914935         -1.5906352244702655        
