#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3867.4631657063237    All      -1.3214050241904518        0.5288459462990502        -0.8564439464816054       0.5644684527105935        
Zeropoint     AB|SDSS|SDSS_r            5053.618205174893     All      0.9938627009861459         0.4594874469530552        1.1795020212899436        -0.1214278427089148       
Zeropoint     AB|SDSS|SDSS_z            7286.151223836769     All      0.14840551796123402        0.004980164086454408      0.2321963509889946        -0.03635649960563106      
Zeropoint     AB|SDSS|SDSS_i            6128.395356279714     All      1.1772196641139858         0.005390431066132351      -0.5537946493945234       -0.40641664495599455      
Check         All|All|All               All                   All      0.998082858870914          0.9987039884046922        0.0014597764028094762     0.00026746544005312733    
Lambda        AB|SDSS|SDSS_g            3867.4631657063237    All      -0.0016507622857868808     0.0004073456885634529     -0.002435500573104571     0.0005617082722589601     
Lambda        AB|SDSS|SDSS_r            5053.618205174893     All      1.3976889064510885e-05     -7.477427755301699e-05    -0.0013509571129476632    -8.919618602324357e-05    
Lambda        AB|SDSS|SDSS_z            7286.151223836769     All      -2.6843137959644777e-05    -1.881693065586307e-06    -5.586223511029255e-05    5.637888822133026e-06     
Lambda        AB|SDSS|SDSS_i            6128.395356279714     All      -0.00034108582633264253    -4.787210450798985e-05    -0.0009536042399649923    5.295437815942956e-05     
MWEBV         All|All|All               All                   All      -0.5497014032242973        -3.1378681165149303       0.09472668004958384       -0.8388238300077656       
Redshift      All|All|All               All                   All      7.211836263673037          1.291171141645897         9.741082601981505         -1.4938556369888187       
