#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7393.23890474953     All      0.4035038720324323         -0.06326386805364237       0.07255961522497077        -0.14880360677532695       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.033528066854    All      -0.8107391155727914        0.46643329966444824        -0.1324110111001974        0.41010817808355465        
Zeropoint     AB|CNIa02|SDSS_g                      4665.671432259455    All      -0.5242872586773929        0.5013945837882616         0.007296318445108144       0.3344239212028125         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.091329935014    All      0.7750726219598785         0.1860386470317721         -0.018819684955682623      -0.19270758038014169       
Zeropoint     AB|CNIa02|SDSS_r                      6096.637790504878    All      1.1559548249235394         -0.09364515570933207       0.07173024635202259        -0.40383483286079624       
Check         All|All|All                           All                  All      0.9995049446656659         0.9969575067215075         0.0003554839662214815      -0.0008139207298977214     
Lambda        AB|CNIa02|SDSS_i                      7393.23890474953     All      -5.415037632428818e-05     -9.307037884080036e-06     -0.0001994721196551055     5.705426074090778e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.033528066854    All      -0.0003383634800659262     6.667841438076944e-05      -0.0008331869639828116     9.475416299057017e-05      
Lambda        AB|CNIa02|SDSS_g                      4665.671432259455    All      5.312397675174185e-05      -6.514947513415853e-05     -2.4029207932279295e-05    -3.9597867548085556e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.091329935014    All      6.29316312520784e-05       -6.355953196749671e-05     -0.0011134135450887046     -9.088886609013932e-05     
Lambda        AB|CNIa02|SDSS_r                      6096.637790504878    All      -0.00012465503039387046    -1.9485924766258955e-05    -0.00034565393406053244    1.8832090117693342e-05     
MWEBV         All|All|All                           All                  All      -0.8897888137777445        -4.040850502815996         0.010243320549810123       -1.025947346619846         
Redshift      All|All|All                           All                  All      3.748416826410526          0.35414298308706904        2.038125314855059          -1.0146744870320241        
