#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7393.23890474953     All      0.41231925177501094        -0.06614191753060439       0.12851789370711408        -0.15011538041294487      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.033528066854    All      -0.9296253997063954        0.5645113733029561         -0.10068517320345194       0.48219638575911355       
Zeropoint     AB|CNIa02|SDSS_g                      4665.671432259455    All      -0.32568577607480587       0.3484364968120879         0.031730092707782376       0.22099977054979153       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.091329935014    All      0.7273095678725882         0.23537030148768068        -0.23936735250558172       -0.1709226689505447       
Zeropoint     AB|CNIa02|SDSS_r                      6096.637790504878    All      1.1125179080918814         -0.08695616479101886       0.16410735316685354        -0.3833848096088083       
Check         All|All|All                           All                  All      0.9968355519582796         0.9952200892811014         -0.015697186127283658      -0.001226702663392809     
Lambda        AB|CNIa02|SDSS_i                      7393.23890474953     All      -1.4950691569873243e-05    -7.178030500460415e-06     -0.00011458002076398289    -2.581368656434146e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.033528066854    All      -0.0004614783275162654     0.00012521156238189698     -0.0008956223627668361     0.00015113668605834068    
Lambda        AB|CNIa02|SDSS_g                      4665.671432259455    All      0.00010801847059855278     -5.6074441725514455e-05    -4.0742082414781485e-05    -5.526859205696818e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.091329935014    All      1.086692502634155e-05      2.207110464130363e-05      -0.0009166864608561        -3.725793665222269e-05    
Lambda        AB|CNIa02|SDSS_r                      6096.637790504878    All      0.000153198222868851       -2.493141680539483e-05     -1.323329407762243e-05     -5.861322506934206e-05    
MWEBV         All|All|All                           All                  All      -0.883294127673977         -4.0422520206869095        0.024919119035970994       -1.0278644865488615       
Redshift      All|All|All                           All                  All      3.317078506400427          -0.3664996456349101        3.2348521168912736         -1.055505997401053        
