#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5796.793576644011    All      0.506312183670063          0.6595385275684151        -2.080685342486119         -0.04294056938835381      
Zeropoint     AB|PS|PS_i                7021.172471745821    All      0.9770875731412101         -0.2978365468635502       0.6891994734799722         -0.38452892252052256      
Zeropoint     AB|PS|PS_z                8069.040384040312    All      0.40819053450173104        -0.19966524588621581      0.638217429688032          -0.1695179128731878       
Zeropoint     AB|PS|PS_g                4564.648387389465    All      -0.898028075427161         0.8356957903266959        0.7268370855814765         0.597166301784534         
Check         All|All|All               All                  All      0.9935622158858435         0.997732525145345         -0.026431353736638186      0.00017889700246975782    
Lambda        AB|PS|PS_r                5796.793576644011    All      -0.00015511922551517235    -1.917219287200535e-05    -0.000728666751466227      1.1765370583809079e-05    
Lambda        AB|PS|PS_i                7021.172471745821    All      -0.0008050191447781184     0.00025652790300031015    -0.0016034944703951213     0.00027422420369195344    
Lambda        AB|PS|PS_z                8069.040384040312    All      1.5290403638559745e-05     -4.233459858506385e-05    0.0005851402614520561      7.341763386093844e-06     
Lambda        AB|PS|PS_g                4564.648387389465    All      -0.00013567277645101143    4.93988552750658e-05      -0.00043452559343409836    4.089303759791719e-05     
MWEBV         All|All|All               All                  All      -0.6095485698394847        -3.860988417143396        0.2082511115459324         -1.0498076368150224       
Redshift      All|All|All               All                  All      5.9009628940713625         -1.3099065092706752       11.968969024015033         -1.8146972791700255       
