#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5796.793576644011    All      0.6985533840496605         0.44492348008695615       -1.3564417245599092       -0.14314736815225146       
Zeropoint     AB|PS|PS_i                7021.172471745821    All      0.9683932992094277         -0.24118963854231623      0.6276361993483803        -0.36599243597427233       
Zeropoint     AB|PS|PS_z                8069.040384040312    All      0.3036659029780284         -0.12808171838836202      0.34832510025828434       -0.1250902549286663        
Zeropoint     AB|PS|PS_g                4564.648387389465    All      -0.9732243194867354        0.9243046954850342        0.3511292145536249        0.6337569111940118         
Check         All|All|All               All                  All      0.9973882667503818         0.9999568186413121        -0.02935121039961963      -0.00047314786117835794    
Lambda        AB|PS|PS_r                5796.793576644011    All      -0.0002417025313125855     -5.155924724804714e-05    -0.0009932546007620272    1.7611532169426908e-05     
Lambda        AB|PS|PS_i                7021.172471745821    All      -0.0007320197941283197     0.00015136799766152928    -0.0012726109854445979    0.00023095768299151112     
Lambda        AB|PS|PS_z                8069.040384040312    All      7.715281814278114e-05      -4.481755969240934e-05    0.0005013410559593118     -1.7357216015884288e-05    
Lambda        AB|PS|PS_g                4564.648387389465    All      -0.00010973883741769743    -3.481048296720027e-05    -0.0005288275565083969    8.074850843149119e-07      
MWEBV         All|All|All               All                  All      -0.6254825962680508        -3.834577794371974        0.18333033388144848       -1.0371266913231807        
Redshift      All|All|All               All                  All      6.085225987093143          -0.5122240461476579       12.65242280993042         -1.584387005954506         
