#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3522.3970947149555    All      -0.9126467508331375       0.2781010923207816        -0.9548410957150406       0.34525557428044257       
Zeropoint     AB|DECam|DECam_z          6664.879618329658     All      0.8484035892501967        0.15791853189401905       2.592472563733977         -0.10922355574091945      
Zeropoint     AB|DECam|DECam_i          5687.471074930427     All      0.03365431729034474       -0.026447006005092533     -5.310095472313854        -0.25654215081512555      
Zeropoint     AB|DECam|DECam_r          4681.527414761512     All      1.0277058997973496        0.5881710269193263        3.669874922196886         0.02059869428760593       
Check         All|All|All               All                   All      0.9971170555047534        0.9977436451290345        -0.0025890820980318807    8.856201200348537e-05     
Lambda        AB|DECam|DECam_g          3522.3970947149555    All      -0.0015205148686673197    0.00035659614502234823    -0.00404207021113566      0.00043105778331077604    
Lambda        AB|DECam|DECam_z          6664.879618329658     All      -0.0003957756459802916    -7.529148907907872e-05    -0.0011517383251730673    5.29954418086328e-05      
Lambda        AB|DECam|DECam_i          5687.471074930427     All      -2.043504356350609e-05    2.927108149167413e-06     0.0012893310092633597     6.51467426650664e-05      
Lambda        AB|DECam|DECam_r          4681.527414761512     All      -0.0002125344027361642    -9.678484941081866e-05    -0.0012581584441787189    -1.844239528571301e-05    
MWEBV         All|All|All               All                   All      -0.5705432458673436       -2.6160976103628997       0.0037335728887860735     -0.666137741045535        
Redshift      All|All|All               All                   All      5.842697234603098         0.007638165753753867      4.709906464421225         -1.690489212776429        
