#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3522.3970947149555    All      -0.6864206041214953       0.3515313642029838        0.560728463332949         0.3631178396746232        
Zeropoint     AB|DECam|DECam_z          6664.879618329658     All      1.0593485518131065        0.14357971483427434       1.9737243071815014        -0.21021778726220408      
Zeropoint     AB|DECam|DECam_i          5687.471074930427     All      0.015157881767515535      -0.07561788667995728      -6.312910937857841        -0.31128487522280035      
Zeropoint     AB|DECam|DECam_r          4681.527414761512     All      0.6020254081987122        0.5775215783749843        3.749581486698239         0.15934489702082444       
Check         All|All|All               All                   All      0.9901112376578388        0.9970147707322852        -0.028876680645151254     0.0009600742104431959     
Lambda        AB|DECam|DECam_g          3522.3970947149555    All      -0.0015407049478213886    0.000678907942223959      -0.0011986568574296878    0.0006695103910675832     
Lambda        AB|DECam|DECam_z          6664.879618329658     All      -0.0004181830015551159    -5.804689753147701e-05    -0.0007748580597511329    8.272982079405006e-05     
Lambda        AB|DECam|DECam_i          5687.471074930427     All      5.4453239094583584e-05    4.7491389295757804e-05    0.0023620701264494433     0.00010314063763021106    
Lambda        AB|DECam|DECam_r          4681.527414761512     All      -6.900632015928868e-05    -3.638463584479585e-05    -0.0014063606247640243    -5.213345969973242e-05    
MWEBV         All|All|All               All                   All      -0.48032107578950933      -2.637330618524558        -0.05658188558053112      -0.7051339612571927       
Redshift      All|All|All               All                   All      2.7949511906365725        -1.7912384096543832       -16.300397954957614       -2.2212847296808307       
