#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6266.490231239298     All      0.6204507845209035         -0.060340907865708004     -0.09235884792434694       -0.22587780278574823      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8020.055300948966     All      0.07379138925172224        -0.014866215281905681     0.03580769154131894        -0.02728076573044535      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6210.084067907572     All      0.2433793654215967         -0.025047737707062367     0.007896928040809827       -0.08708313484920786      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5249.291650827266     All      -0.002854605275392094      0.0649209844363341        -0.22987770347093625       0.01181835320397652       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4285.25571516135      All      -0.6452687802558563        0.44534388647150536       -0.06322102401454811       0.35242716170598326       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5279.271694423337     All      0.10835579775231816        0.17655642192995202       0.056707711542792485       0.02474579174560145       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4299.8657308951815    All      -0.1963095947854158        0.1552383931796797        0.1339317891025466         0.12048750588669198       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4310.564661777941     All      -0.15255406431059107       0.10743957511705204       0.02023837765589631        0.08559162774153124       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5281.8859389143945    All      0.13772839706201587        0.2541183823630888        -0.19591246899062129       0.02916937363171265       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6417.294715984374     All      0.42345290735240815        -0.03742492936362751      0.0932637325771154         -0.1459611418087853       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7748.436762227951     All      0.20921443316791175        -0.039671988414280435     0.1062803774945133         -0.07632769050991657      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7698.751600958622     All      0.1768078368502486         -0.029728261598638284     0.12751821345352177        -0.06158504990415453      
Check         All|All|All                                      All                   All      0.9961938667518698         0.9965376032663897        0.00027477700806205485     0.00012422832723919808    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6266.490231239298     All      -0.00019130034817070628    -4.447584744579828e-06    -0.0002946197163461421     4.7716567520099344e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8020.055300948966     All      -1.822897903321656e-05     3.764804200942566e-06     -8.036968491508576e-06     6.805445782026858e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6210.084067907572     All      -4.541956043816808e-05     4.565568389082969e-06     -5.438469410546746e-06     1.6039107009122524e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5249.291650827266     All      2.1552612736792433e-07     7.0015291195334724e-06    -2.3871477123137276e-05    1.145150041138678e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4285.25571516135      All      -0.00028500850506573864    9.351457054448844e-05     -0.0007702870875850783     8.892304384725451e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5279.271694423337     All      -1.614836101491256e-05     2.2657077545412993e-05    -0.00039161319518989747    -4.835690286869839e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4299.8657308951815    All      -3.595576382414219e-05     1.9345729464871095e-05    -4.2161619421530146e-05    1.6132036295851355e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4310.564661777941     All      -1.9658132270615116e-06    1.4534290726231754e-06    6.911316437974913e-07      1.1446017377475386e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5281.8859389143945    All      -3.557152551674462e-05     3.3193942899145256e-05    -0.0007798573881074593     -1.24022780960365e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6417.294715984374     All      -0.00011753557321836784    4.641197728380082e-06     -0.00010727292215798536    3.5009895964528965e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7748.436762227951     All      -3.728683531703996e-05     8.709492896030058e-06     9.017294991072774e-08      1.4986541337852701e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7698.751600958622     All      -3.1378071932914944e-05    5.745879749439901e-06     -1.6805466930654788e-05    1.1342541600278549e-05    
MWEBV         All|All|All                                      All                   All      -0.8054666028530528        -3.9825821560275365       0.0572580772623068         -1.0323358946545758       
Redshift      All|All|All                                      All                   All      4.185694488507673          0.12435501915870617       2.216977974894671          -1.2239783344587614       
