#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_I
@MAGSYS  Linear_AB11_off
53078.33  17.315  0.035
53079.32  17.28  0.035
53080.3  17.189  0.027
53081.32  17.168  0.029
53083.29  17.114  0.037
53084.3  17.185  0.022
53085.28  17.238  0.039
53087.32  17.304  0.04
53090.4  17.201  0.152
53092.29  17.424  0.048
53093.29  17.57  0.049
53094.29  17.588  0.051
53095.27  17.628  0.127
53101.37  17.837  0.141
53103.22  17.697  0.058
53107.26  17.548  0.085
53109.3  17.583  0.076
53111.27  17.656  0.045
53116.26  17.735  0.075
53119.26  17.927  0.082
53123.24  18.326  0.145
