#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6266.490231239298     All      0.6328470507270352         -0.058790486760873506     -0.14506980933194497       -0.2317628994678779       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8020.055300948966     All      0.07027630838029322        -0.013822144327946262     0.03739970167402906        -0.025724655888891695     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6210.084067907572     All      0.24451429452707926        -0.024830404318976207     -0.0031638191818797456     -0.0878756163107404       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5249.291650827266     All      -0.01613067882467882       0.06276684323829329       -0.2810004107185862        0.013159760845122409      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4285.25571516135      All      -0.6061848812090894        0.45163510690997555       0.0793251251807528         0.34810668738398315       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5279.271694423337     All      0.08968395515017066        0.16105960892636162       0.022203784374236202       0.02424025154249554       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4299.8657308951815    All      -0.1664274456078981        0.13942104206527972       0.15071255320597693        0.10635052360338654       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4310.564661777941     All      -0.1582243574075457        0.11574246360588347       0.04491391657506921        0.09124430865935299       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5281.8859389143945    All      0.12875739812056775        0.2638142911431274        -0.210692971515139         0.034590213656347096      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6417.294715984374     All      0.3900256178560595         -0.03470280035688944      0.030186230608000852       -0.13700094613018007      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7748.436762227951     All      0.2083852105473199         -0.03637144787660418      0.13525886306916396        -0.07368931406626991      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7698.751600958622     All      0.17158317417523916        -0.027581302533441487     0.1299163445250634         -0.05907685260871237      
Check         All|All|All                                      All                   All      0.9891056464345525         0.99834076971419          -0.010010491535257515      0.0025614612180153706     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6266.490231239298     All      -0.00018255995975490307    -3.543874977858875e-06    -0.00028167631118083757    4.574150819064151e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8020.055300948966     All      -2.0230643708307457e-05    3.5754424200138115e-06    -1.4519111425431669e-05    7.106504189914376e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6210.084067907572     All      -4.3898652874071387e-05    4.6134536766823164e-06    -1.7259646252871287e-05    1.5031770362902391e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5249.291650827266     All      7.771474692888248e-07      8.174055385885909e-06     -4.107999564113842e-05     5.762047276094854e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4285.25571516135      All      -0.0002820978308513024     0.00011879403518858967    -0.0006935187815112337     9.96351117175417e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5279.271694423337     All      -1.4371508201346455e-05    2.3655014688755606e-05    -0.0003741046364578058     -4.308082183914441e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4299.8657308951815    All      -3.5019968674665143e-05    2.361616230293945e-05     -9.752873377359333e-07     1.9056194336265398e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4310.564661777941     All      -1.282527026942687e-05     8.581911662610307e-06     3.981634562936903e-06      7.150705494188773e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5281.8859389143945    All      -4.133085664222535e-05     4.746992568274041e-05     -0.0007862981305315486     -6.163537966728473e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6417.294715984374     All      -0.00010664672879417141    2.2822980705835906e-06    -0.00011281025250075724    3.0447564258029727e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7748.436762227951     All      -3.372911022429592e-05     7.2736090451407225e-06    -1.188027231260313e-06     1.3302918416532242e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7698.751600958622     All      -3.232623979993063e-05     4.155162935563418e-06     -3.30878351507217e-05      1.0406634957604294e-05    
MWEBV         All|All|All                                      All                   All      -0.7940911532730532        -3.9849200998270717       0.0663629102958696         -1.0363964911542296       
Redshift      All|All|All                                      All                   All      3.91531850655888           -0.17096814552219897      0.7868778328865469         -1.2959232537379877       
