#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4238.5847265277835    All      -0.7677801903031938       0.4421469218612195         0.06776448276521191       0.3971370834863998        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7358.960515743954     All      1.304010180276303         -0.7231595747756892        1.965015382906149         -0.572626269574544        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5241.832595820818     All      0.10424944834801408       0.7466279131737252         1.1048146002123023        0.2585466009950478        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6040.238453035073     All      0.349753282013189         0.5442363696862351         -3.1534012665825992       -0.077372275520772        
Check         All|All|All                                All                   All      0.9902327203343124        1.0098516299454907         -0.01580680069893603      0.005685139386131605      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4238.5847265277835    All      -0.0007590855951791291    0.00046870226383010445     -0.0006140813812303853    0.0003725272670295345     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7358.960515743954     All      1.1186415437128543e-05    -0.00018201698714920026    5.075889785300272e-05     -6.066756794152034e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5241.832595820818     All      -0.0007256988120867473    0.0011113314159902155      -0.0024323036927308486    0.0004898386391442465     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6040.238453035073     All      -2.733775183544843e-05    -7.503505868533993e-05     -0.0003107032948797928    -2.940184307766225e-05    
MWEBV         All|All|All                                All                   All      -0.6826064685900426       -4.034134293803859         0.35308595398592785       -1.07594627020122         
Redshift      All|All|All                                All                   All      12.471350133040016        -5.93546064763073          21.37382751733905         -5.041888081692279        
