#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4238.5847265277835    All      -0.5869036544785902       0.3920577451328455        0.04863345901684468       0.3210502226373757         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7358.960515743954     All      1.8097934197542012        -1.011653451576322        3.052085283761685         -0.7828375203437044        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5241.832595820818     All      0.10720115335360847       0.607884671850556         2.0578457980126252        0.25492130059435736        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6040.238453035073     All      -0.36061195236995025      1.0451020266845745        -5.265469877838269        0.22291355237481492        
Check         All|All|All                                All                   All      0.9694789662592694        1.033390992091654         -0.10690533704711402      0.016047555262843627       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4238.5847265277835    All      -0.0006480010710078212    0.00046007862247030604    -0.0003378133381776598    0.0003458629531426019      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7358.960515743954     All      0.00012429185144829325    -0.0002930237728405689    0.00037829190826559446    -0.00011905199767311912    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5241.832595820818     All      -0.0012218236532931107    0.001680110022630305      -0.003451017941032652     0.0007912521882742483      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6040.238453035073     All      -0.0001655178500628421    0.0001368523477060199     -0.0012331871974535177    4.3460440298934865e-05     
MWEBV         All|All|All                                All                   All      -0.578689181016562        -4.103314964249005        0.5821780202666438        -1.1221066431452487        
Redshift      All|All|All                                All                   All      14.538683602012348        -8.4231020516774          26.173055525941823        -6.31142574808981          
