@INSTRUMENT MEGACAMPSF
@BAND z
@MAGSYS AB
@WEIGHTMAT weightmat_SNLS_z.dat
@X_FOCAL_PLANE 9.3069675
@Y_FOCAL_PLANE 6.683715
#Date : MJD
#Flux : 
#Fluxerr : errors (but look at the weight matrix)
#ZP : 
#end
53883.42  1.0388298  1.04996634772  25.347389
53892.4  0.32480355  0.49283396579  25.347389
53906.4  -1.4610845  1.20582602993  25.347389
53915.38  4.9784931  1.27918822139  25.347389
53919.27  4.2292449  0.6595579639  25.347389
