#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           6567.356836296211    All      0.7242163829382119        -0.07834369104458005       0.05708477344466001        -0.2588727882804148       
Zeropoint     AB|MEGACAMPSF|r           4661.975886273968    All      -0.5455258669663234       0.8223936618055205         0.7191143790606702         0.4776671657013537        
Zeropoint     AB|MEGACAMPSF|g           3653.880180243921    All      -0.5339900442193948       0.2111285262230922         -0.26037663009921275       0.2310902189312361        
Zeropoint     AB|MEGACAMPSF|i           5700.574250139703    All      1.347373965907259         0.0447090476773937         -0.5178774894931015        -0.4474313141011141       
Check         All|All|All               All                  All      0.9920744376597526        0.9998875446614264         -0.0020549670869840497     0.0024532822510608954     
Lambda        AB|MEGACAMPSF|z           6567.356836296211    All      -5.107996997343882e-05    2.676000933481432e-06      -3.098151560089395e-05     1.612752549498299e-05     
Lambda        AB|MEGACAMPSF|r           4661.975886273968    All      -6.43031041822508e-05     -5.8157359182980585e-05    -0.0006281092449482433     -2.602775946535477e-05    
Lambda        AB|MEGACAMPSF|g           3653.880180243921    All      -0.0010209223569685193    0.0004324747931005949      -0.0003233584618597369     0.00045898926410238767    
Lambda        AB|MEGACAMPSF|i           5700.574250139703    All      -0.0003894838450297003    -2.6204630584474555e-05    -0.00018165834725020354    0.00011022541396480387    
MWEBV         All|All|All               All                  All      -0.4313566910732516       -2.7697801674779754        -0.050157365080627514      -0.7639397509513909       
Redshift      All|All|All               All                  All      1.4734547270728324        1.142107790293423          3.9824675581100255         0.0697886380070567        
