#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                       4763.788328083956    All      -0.4136751501484831        0.7337677118814057         0.7958889830025154         0.4092767598375353        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6052.639194904561    All      0.3058815362585364         -0.08075928263640009       -0.6503782927850109        -0.15496503094673714      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4591.525744311912    All      -0.2220797593699506        0.15786122760017562        -0.1741471928402307        0.11598788975603082       
Zeropoint     AB|PS|PS_r                       6049.687782528571    All      0.9992909034212029         0.044617064350216395       0.4271921727748834         -0.2919050525735594       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5344.134333183809    All      0.028125014194811282       0.010171280989901277       -0.5832910330191761        -0.03187772140994695      
Zeropoint     AB|PS|PS_i                       7327.482126064866    All      0.5319458876770982         -0.07239266624772256       0.3415284092918125         -0.1816121048377337       
Zeropoint     AB|PS|PS_z                       8421.064918499189    All      0.18445719940501915        -0.033079026184346105      0.08155838319906655        -0.06721912934563294      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4264.443280413324    All      -0.41633496572980944       0.23696046202266174        -0.23659267222517982       0.2022417692695836        
Check         All|All|All                      All                  All      0.9976106657084247         0.997146771775892          0.0017587573986803662      -7.26202504604534e-05     
Lambda        AB|PS|PS_g                       4763.788328083956    All      -0.00011378572961656875    -9.568211382032027e-05     -0.0008515281535503426     -3.210284730949462e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6052.639194904561    All      -2.5187780251399584e-05    -1.6527102604583127e-05    -0.00016301894059886696    -4.453718962615087e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4591.525744311912    All      -9.517177384270494e-05     3.7404037455429264e-05     -0.00023960049939804264    3.249203351159686e-05     
Lambda        AB|PS|PS_r                       6049.687782528571    All      -0.00010802448277583829    -2.9046891209922147e-05    -0.000325105566518392      1.1217631580748026e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5344.134333183809    All      -1.3378321424648162e-05    -2.6309907811273818e-05    -0.0007131487997515269     -3.603679868162373e-05    
Lambda        AB|PS|PS_i                       7327.482126064866    All      -0.00016490609976045614    1.604815997108832e-05      -0.00022378684794643414    4.8956176404847886e-05    
Lambda        AB|PS|PS_z                       8421.064918499189    All      0.00018510364065549558     -3.552443810250302e-05     5.8849157200098484e-05     -6.92396560982362e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4264.443280413324    All      -0.000249740748498316      0.00010458549931451385     -0.0003418407614499743     0.00010016093273426167    
MWEBV         All|All|All                      All                  All      -0.7689838930557937        -3.998207204504034         0.06011806190426818        -1.0491814778395296       
Redshift      All|All|All                      All                  All      6.220553002681699          1.126884406006301          9.481718873453323          -1.2360498732939065       
