#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                       4763.788328083956    All      -0.33037325817448293       0.6911274342821905         0.9532996072663336         0.37527776503327726        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6052.639194904561    All      0.3112669017687305         -0.10412133857373718       -0.8184724781276076        -0.171830283337443         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4591.525744311912    All      -0.228522668729298         0.15386304787314842        -0.18206884828841918       0.11643071152668827        
Zeropoint     AB|PS|PS_r                       6049.687782528571    All      0.9801720006257926         0.06822673596040829        0.529054224198422          -0.27344131464175914       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5344.134333183809    All      0.08936249242625698        -0.0023304528086853793     -0.7249599028833931        -0.0622190397166017        
Zeropoint     AB|PS|PS_i                       7327.482126064866    All      0.5398166580164463         -0.05100803806445953       0.4628770375549651         -0.17179496479995948       
Zeropoint     AB|PS|PS_z                       8421.064918499189    All      0.1493754188153837         -0.017515490478103857      0.12280048831392332        -0.04888183791351142       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4264.443280413324    All      -0.5170999100936586        0.25912659027884644        -0.3385470750469022        0.23773470719579137        
Check         All|All|All                      All                  All      0.9939976346551705         0.9973684884696077         0.003983052987321933       0.0012757433464821721      
Lambda        AB|PS|PS_g                       4763.788328083956    All      -0.00010301380562834005    -0.0001963701232042516     -0.0010487221271573612     -7.720887589461565e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6052.639194904561    All      -4.642097074743659e-05     -2.2790014474360384e-05    -0.00014764037459767272    1.108868062929983e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4591.525744311912    All      -5.995466114867024e-05     3.823505597721515e-06      -0.00022671953135615472    1.0657195749380636e-05     
Lambda        AB|PS|PS_r                       6049.687782528571    All      -0.00025169748713306864    -2.874038304374465e-05     -0.0004059089483185287     5.451061178165653e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5344.134333183809    All      -3.2673679502061325e-06    -5.570354179928283e-05     -0.0008931668488671397     -5.6938121219503215e-05    
Lambda        AB|PS|PS_i                       7327.482126064866    All      -0.00023272084847768458    2.4442871318641144e-05     -0.00031025490443591005    6.992143253700523e-05      
Lambda        AB|PS|PS_z                       8421.064918499189    All      0.00015285934349082572     -1.7745965910808843e-05    0.00011685820439564956     -5.035691706821842e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4264.443280413324    All      -0.000174509028596766      4.9350655621234894e-05     -0.0003325470612271531     5.807841590549867e-05      
MWEBV         All|All|All                      All                  All      -0.7922104897489253        -3.9856948230648115        0.08711278598716454        -1.0363354663308288        
Redshift      All|All|All                      All                  All      6.697746011982156          1.832010921815197          9.910608036673718          -1.1426650778966319        
