#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4685.24239190553     All      -1.0809910502414615        1.0904645739993057        0.3330288597783722        0.7221760840489916        
Zeropoint     AB|PS|PS_i                7206.665686755537    All      0.7201974966973161         -0.21331233124310955      0.6309104293553263        -0.2759202277259759       
Zeropoint     AB|PS|PS_z                8282.217349696975    All      0.3194941803014244         -0.09808889864011405      0.26996279965335895       -0.12397334703225678      
Zeropoint     AB|PS|PS_r                5949.939775744857    All      1.0394664333585633         0.22109945536765707       -1.2432630706594587       -0.3220501689482906       
Check         All|All|All               All                  All      0.9981670601158424         1.0001627994837392        -0.00936098187240142      0.00023234034246832902    
Lambda        AB|PS|PS_g                4685.24239190553     All      -0.00021836209625591786    2.1438104597695577e-05    -0.0005385913514979544    5.407595625354844e-05     
Lambda        AB|PS|PS_i                7206.665686755537    All      -0.0003357453866936333     0.00018281079918556475    -0.0014583835731862926    0.00010382984897481303    
Lambda        AB|PS|PS_z                8282.217349696975    All      0.0002430481753710859      -6.138508480782488e-05    0.00011904986863389153    -9.385127953617838e-05    
Lambda        AB|PS|PS_r                5949.939775744857    All      -0.00018146106081030867    6.123493874928407e-05     -0.0011330574676309197    2.8490920682135748e-05    
MWEBV         All|All|All               All                  All      -0.672504820827601         -3.9596685601250847       0.13547430589597953       -1.0646917783028451       
Redshift      All|All|All               All                  All      7.330000326360283          -1.326315486578622        17.656857951954812        -2.031702369225113        
