#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4685.24239190553     All      -1.0873345902309215        1.08773287772852           0.3002385991371259        0.7218893016420938         
Zeropoint     AB|PS|PS_i                7206.665686755537    All      0.6897969646400292         -0.23068401833983287       0.44274148157448234       -0.28007342019679415       
Zeropoint     AB|PS|PS_z                8282.217349696975    All      0.2946615098558035         -0.10144859694038999       0.2407059389178956        -0.11828449288744033       
Zeropoint     AB|PS|PS_r                5949.939775744857    All      1.1007447895339182         0.24080429514912183        -0.98180937919774         -0.32392455352927907       
Check         All|All|All               All                  All      0.9978686737988295         0.996404557597419          0.0018766404317638319     -0.00039316497141983486    
Lambda        AB|PS|PS_g                4685.24239190553     All      -0.00024921057947677747    9.866555773936814e-05      -0.0004680986948738613    9.242560782359172e-05      
Lambda        AB|PS|PS_i                7206.665686755537    All      -0.00036046113747802903    8.038209464581009e-05      -0.00092851578709967      0.00010216174895478317     
Lambda        AB|PS|PS_z                8282.217349696975    All      0.00019727844738107246     -5.3961487950440084e-05    8.131155601166193e-05     -7.820855119150321e-05     
Lambda        AB|PS|PS_r                5949.939775744857    All      -7.531558537026798e-05     0.0001046558661145171      -0.0008527772484256415    2.056709070047954e-05      
MWEBV         All|All|All               All                  All      -0.6767582239143848        -3.9693734800782643        0.14611876227552667       -1.0659925034958087        
Redshift      All|All|All               All                  All      7.134183875049274          -1.5251908082612786        12.944392753847577        -2.242994422160728         
