#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5099.550883852078     All      1.1390716765200055        0.520230541189548         -0.5320549721108625       -0.2253200868109595        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4076.2081779662744    All      -1.0778963680120572       0.5687783524937373        0.36875671676763755       0.5528320490889124         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7405.962556327388     All      0.9388757539606569        -0.0922028728222557       0.15020177134119628       -0.3291534150192732        
Check         All|All|All                                All                   All      1.000051062468605         0.9968060208610297        -0.013096484002028674     -0.0016414527413203261     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5099.550883852078     All      0.0001628041946072181     -4.568795457840222e-05    -0.0021415269683446227    -0.00016347926509733995    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4076.2081779662744    All      -0.0007469769890620196    0.0002497909424564075     -0.0005659516297527474    0.00029942428607241067     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7405.962556327388     All      -0.0002701891574339576    5.35259263656477e-06      -0.0005551094439548805    6.498102809404031e-05      
MWEBV         All|All|All                                All                   All      -0.6711006190697315       -3.744536570603252        0.04724124268530305       -0.9990110427640503        
Redshift      All|All|All                                All                   All      8.093919592368907         0.6941798377987141        8.2044014768754           -2.044213925810509         
