#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CalanTololo
@BAND  Bessell12_V
@MAGSYS  Linear_AB11_off
48978.189999999944  18.543  0.033
48979.10999999987  18.551  0.032
48979.22999999998  18.559  0.032
48986.220000000205  18.59  0.031
48986.25999999978  18.639  0.033
48987.169999999925  18.671  0.031
48991.220000000205  18.979  0.048
48991.220000000205  18.905  0.039
48994.14999999991  18.962  0.05
48994.14999999991  18.994  0.061
48997.12000000011  19.266  0.043
48997.12000000011  19.297  0.038
48998.189999999944  19.319  0.043
48998.189999999944  19.4  0.046
48999.18000000017  19.397  0.036
48999.18000000017  19.432  0.041
49011.14999999991  20.333  0.053
49013.189999999944  20.43  0.051
49016.10000000009  20.591  0.043
49017.10000000009  20.714  0.053
49040.080000000075  21.384  0.046
