#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
53390.31  17.878  0.049
53391.37  17.548  0.035
53392.35  17.307  0.026
53393.32  17.203  0.032
53401.34  16.12  0.015
53402.4  16.096  0.012
53403.33  16.059  0.01
53404.34  16.049  0.011
53405.33  16.02  0.011
53411.33  16.075  0.012
53432.26  17.1  0.019
53435.34  17.27  0.019
53438.21  17.408  0.027
53441.26  17.558  0.026
53442.2  17.62  0.025
53444.26  17.719  0.032
53455.29  18.192  0.087
53460.24  18.205  0.052
53465.23  18.506  0.052
53474.23  18.633  0.084
