#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4325.394032700825     All      -0.012622095402018663      0.004723261824413072       -0.01951564043904952       0.00477906009325145        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7503.790931514811     All      0.038605319411883325       -0.0061950233253504905     -0.002184316215814164      -0.014690421517524546      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5318.169688090714     All      0.03549824792770596        0.014521442841530785       -0.027498280837390254      -0.008059957511693042      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6321.614063567228     All      0.3703241541096979         -0.026984707859423196      -0.07330710932009765       -0.13268792701823273       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5286.477821633384     All      0.359462770821247          0.16455621234969797        0.10275197581610662        -0.05890212957157734       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7481.133007108457     All      0.23836475840378038        -0.02405088570123226       0.1427805405646687         -0.07910576874516385       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6118.769805164057     All      0.6778422368316658         -0.022538085880796643      0.19465662778361814        -0.21945028166322697       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7816.596691171165     All      0.11230513197280974        -0.016052049832726567      0.019238793814513322       -0.04095161793255635       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4322.951412243469     All      -0.24124200231982873       0.1728816307381642         0.01801344314613651        0.135697548784695          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4327.06646226787      All      -0.3969185524128852        0.25244974731624126        -0.10563610307841031       0.20680656469295905        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3536.1831450147756    All      -0.20025028547011603       0.08073557601928627        -0.05895513879095038       0.08889544217428082        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5328.348597296993     All      0.18967393217272055        0.07379133904867885        -0.14055702173578766       -0.04401918732959108       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6154.935980295388     All      0.11390992116627083        -0.007540315005272191      -0.015582708728167916      -0.0402557222369062        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4726.914758341443     All      -0.2955209075810639        0.3373555727029576         -0.03832911506993497       0.20443823827994803        
Check         All|All|All                              All                   All      0.989432629631869          0.9976537152361686         -0.004124053090559521      0.00249384049866222        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B     4325.394032700825     All      -1.1129483653520064e-05    5.636633969036416e-06      -2.7585745254526156e-05    4.2302509845884025e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_i'    7503.790931514811     All      -1.058515867969857e-05     1.3297196012912377e-06     -3.865093757501631e-06     3.7085864613068676e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V     5318.169688090714     All      1.1549398907237318e-05     1.81013640664084e-06       -5.970217910969923e-05     -5.836632260138526e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6321.614063567228     All      -0.00010138166159741736    -3.0357126453341253e-06    -9.93897253336333e-05      2.759920409816791e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5286.477821633384     All      5.153040048902383e-05      9.984522704622598e-06      -0.0004606786207149049     -3.409083023529095e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7481.133007108457     All      -6.582032359426349e-05     -9.925005930240707e-07     -0.0001282695709538281     1.5392472892692172e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6118.769805164057     All      -0.00019410140624319194    -1.677901554777663e-05     -0.00040158938790412564    3.983864643405541e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7816.596691171165     All      -7.730886426415687e-06     2.6149369827354773e-06     1.58605656751394e-05       4.077759252978914e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4322.951412243469     All      -7.734915125189567e-05     2.4694785142380494e-05     -9.8551528773725e-05       2.8841165131034474e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4327.06646226787      All      -0.00015482260350251978    2.7932546390110693e-05     -0.00039700833865414766    4.1812706025085426e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3536.1831450147756    All      -0.0003391122971062871     9.280828855850307e-05      -0.0003037812275212777     0.0001271343835486564      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5328.348597296993     All      5.522029132339616e-05      6.717387683897858e-06      -0.0003060230214806082     -2.945539334929695e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_r'    6154.935980295388     All      -2.1509229565883274e-05    -2.148671024469803e-06     -2.38883670029474e-05      5.240342756354944e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4726.914758341443     All      -0.00015066573763856928    -8.789872540462224e-05     -0.0010835628413339434     -2.7909152126646007e-05    
MWEBV         All|All|All                              All                   All      -0.9915468845271636        -3.9696786279805885        -0.013801399111201818      -0.9706913795217132        
Redshift      All|All|All                              All                   All      4.842407502065642          0.8448148993518423         4.573009341296164          -1.0980750237642427        
