#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            3976.870901188154    All      -0.8213036049563633        0.4243895070212389         0.04639118091373809       0.4078334539943923        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6875.674414368649    All      0.9633916066599381         -0.06355198593439582       1.3285266907902111        -0.27522326904106675      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5623.569178198416    All      0.9512935396666267         0.029520055470477757       -2.4145028773540527       -0.4080001232552619       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4858.067808734361    All      -0.09568185409944485       0.6090342185800068         1.0676765089193           0.27719470827407033       
Check         All|All|All                              All                  All      0.9976996872707563         0.9993917951373277         0.028091503269196627      0.0018047699721339683     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            3976.870901188154    All      -0.0007627038216057328     0.0002774440465226448      -0.0009009807192494876    0.00029860374905250745    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6875.674414368649    All      -0.0007251778101109183     5.9827504185877064e-05     -0.0009359635833055316    0.00021393430077652686    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5623.569178198416    All      -0.00011832059858644025    4.464027301209331e-06      0.0004928633412864074     6.198921942797635e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4858.067808734361    All      -4.540290100799358e-05     -0.00011999267214294076    -0.0006797106489404668    -5.462870685335216e-05    
MWEBV         All|All|All                              All                  All      -0.7173055355085265        -3.597292075798819         0.10230048085726065       -0.9335411643038592       
Redshift      All|All|All                              All                  All      7.354841852799573          -0.0033939014199901862     0.5517035944468826        -2.372199466377961        
