#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            3976.870901188154    All      -0.8190963875360473        0.4024462948395424         -0.009266644000649471     0.39748311144869736       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6875.674414368649    All      0.9377956338339372         -0.05016990111990083       1.437698103452667         -0.2576550145865872       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5623.569178198416    All      0.9686255610247152         0.03797126982139076        -2.38529441877251         -0.40958945491047505      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4858.067808734361    All      -0.0898159129519771        0.6089756680044189         0.987612186424669         0.27169200341908006       
Check         All|All|All                              All                  All      0.9975088943706278         0.9992233315454513         0.03074922710417649       0.0019306453707151894     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            3976.870901188154    All      -0.0005740265561579012     0.00017630590125865904     -0.0008194371582565255    0.00020784024975094994    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6875.674414368649    All      -0.0007334463277064556     5.1306373406099606e-05     -0.0011102089232232512    0.00020607624711106506    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5623.569178198416    All      -0.00015964403519209698    5.991764251904383e-06      0.0007591802810476115     8.783175828909583e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4858.067808734361    All      -8.536566821066676e-05     -0.00018219996300248778    -0.0009571945109048358    -7.425731035367542e-05    
MWEBV         All|All|All                              All                  All      -0.727672261534912         -3.592378896926718         0.1046166444012786        -0.9284606368432674       
Redshift      All|All|All                              All                  All      7.348106184263258          0.6388191777464414         2.10194725138817          -2.091635255073823        
