#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          6913.247784422184    All      0.8096061255220889         -0.05918684456425183       0.5115989831838508         -0.2601641398664994       
Zeropoint     AB|DECam|DECam_g          3653.659976681794    All      -0.48711298257319646       0.2901118047958562         0.018409766909914842       0.25398922652629025       
Zeropoint     AB|DECam|DECam_i          5899.415902365851    All      0.9932687565150654         0.04951824580174957        -0.5745983609719618        -0.3330522756242588       
Zeropoint     AB|DECam|DECam_r          4855.985536303339    All      -0.3250606695811953        0.720659052785777          0.04677222004452453        0.34271254609546326       
Check         All|All|All               All                  All      0.9907012298827625         1.001102258819131          0.0021826091663282934      0.0034853571309952924     
Lambda        AB|DECam|DECam_z          6913.247784422184    All      -0.0006356780450499488     1.76819898199888e-05       -0.0007701148323417605     0.00017845417030590112    
Lambda        AB|DECam|DECam_g          3653.659976681794    All      -0.0008598096906531144     0.0004834648413297244      -0.00015829406529147965    0.00043048477037065347    
Lambda        AB|DECam|DECam_i          5899.415902365851    All      -0.00013423365276339983    1.1096358147107803e-05     0.00024904560490380157     5.8452527290660735e-05    
Lambda        AB|DECam|DECam_r          4855.985536303339    All      -0.0002294804772432651     -4.2780647379327045e-06    -0.0014667149758323544     7.903081699120463e-06     
MWEBV         All|All|All               All                  All      -0.451161888308969         -2.7952842344275197        0.024694675847553204       -0.7624557575007934       
Redshift      All|All|All               All                  All      6.64691525836396           -0.06623589030443355       9.320053102329688          -1.7707830207326472       
