#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          6913.247784422184    All      0.7711928378594637         -0.04698540681786767      0.44476531669265584       -0.24665973820535425      
Zeropoint     AB|DECam|DECam_g          3653.659976681794    All      -0.5178862443723073        0.28832267741485396       -0.02744730879084903      0.26138392198137295       
Zeropoint     AB|DECam|DECam_i          5899.415902365851    All      1.0019208205895767         0.06371273985195103       -0.4098641918300422       -0.3238955944685151       
Zeropoint     AB|DECam|DECam_r          4855.985536303339    All      -0.26498195527980306       0.6959739735464154        -0.005352270896641365     0.31277611326168686       
Check         All|All|All               All                  All      0.9902454587969299         1.0010239839953528        0.002101545175123287      0.003604702569190432      
Lambda        AB|DECam|DECam_z          6913.247784422184    All      -0.0006364124434547276     1.657136028078067e-05     -0.0006945207389376746    0.00018170503664529216    
Lambda        AB|DECam|DECam_g          3653.659976681794    All      -0.0007548613350926853     0.0003829919563885715     -0.0002749805917731463    0.000358365130426168      
Lambda        AB|DECam|DECam_i          5899.415902365851    All      -0.000234893313513655      -5.719247491236178e-06    0.00021632829379465205    8.430327109846455e-05     
Lambda        AB|DECam|DECam_r          4855.985536303339    All      -0.00020609537205553582    -9.829939013922529e-05    -0.0015298146378851893    -3.31559034117135e-05     
MWEBV         All|All|All               All                  All      -0.4679799048841411        -2.786304507991666        0.033247593633133066      -0.753670906442927        
Redshift      All|All|All               All                  All      6.455989313961656          0.5188865875719983        8.07032563619818          -1.57376811538453         
