#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5375.47150008941      All      0.5691590923846025        0.4156517945280491         -0.185536787942997        -0.05828203185822278       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6424.199236265011     All      1.1342593870845383        -0.08569626173278166       0.1167828134772897        -0.39216820956707865       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4296.7589476306275    All      -1.1008231464218003       0.7691173167267529         -0.17739049360674386      0.6011850050568174         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7806.675834597274     All      0.40737877074630147       -0.10787736673991688       0.2981717734402256        -0.15452983860746172       
Check         All|All|All                                All                   All      1.009974103793642         0.9911954827821035         0.052027305367774446      -0.003795074975945778      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5375.47150008941      All      8.214530125078112e-05     0.00011064845148596209     -0.0007167655705226155    -2.2701541669842794e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6424.199236265011     All      -0.0001953962295847833    -1.4841219180253883e-05    -0.0001368383442762131    5.270624014289519e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4296.7589476306275    All      -0.0006567537552761315    0.00023885772168947463     -0.0009782390277267572    0.00024807580787200014     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7806.675834597274     All      -1.969263519447202e-05    9.15771377212094e-06       7.064677904385228e-06     9.712771934688513e-06      
MWEBV         All|All|All                                All                   All      -0.8183179903874631       -4.027123900793228         0.07698745691175901       -1.0417780549865974        
Redshift      All|All|All                                All                   All      4.938036718466937         -2.123740399624996         2.418546035262903         -2.192324531355347         
