#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4460.689853979167     All      -0.6075838480754865        0.39145830362379286        -0.3188554158732019        0.31119184355851814        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4083.3614424018724    All      -0.596964602547543         0.31392017372624537        0.10309144164828044        0.30130563641029406        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4988.154573695854     All      0.27703195504116784        0.3609647428909568         0.3476936577357887         0.042855641354915985       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7059.787579665687     All      0.7265980499005442         -0.05986350649074268       0.43851279923142533        -0.2366075905200592        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5774.154133108624     All      1.199672291209123          -0.009123364901597597      -0.56718156049106          -0.4190552214651453        
Check         All|All|All                              All                   All      0.9987538455278057         0.9973563488486548         0.003260922251232534       -0.00030969066147623625    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4460.689853979167     All      -0.00020401354863998022    -4.257443993758594e-06     -0.0010452972688291813     1.8420318832776478e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4083.3614424018724    All      -0.0003787691048756336     0.000169307631672957       -0.0001339444060230714     0.00017254930062652438     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4988.154573695854     All      -9.293395905974509e-05     -5.5569100983056115e-05    -0.0010195514951523007     -3.3326937055106265e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7059.787579665687     All      -0.0004482832718202168     4.270231716516722e-05      -0.00035665370022960777    0.00014401434268857582     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5774.154133108624     All      -0.0002407549087133855     -6.124346526026707e-06     -0.00023199515420336305    6.60740150037453e-05       
MWEBV         All|All|All                              All                   All      -0.7429818014007425        -3.7388077870190273        0.043607080799432346       -0.9738930995272843        
Redshift      All|All|All                              All                   All      6.003872106056104          0.7665295136694894         6.682718582643152          -1.4077557480666134        
