#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4460.689853979167     All      -0.6056631491755464        0.4024614494287704         -0.3312725368297298        0.3135961762406006         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4083.3614424018724    All      -0.5817944444172303        0.3248338690715613         0.20139887494378117        0.3043061756860227         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4988.154573695854     All      0.2615134729213089         0.3612201807769111         0.3980925055262263         0.05024279515071506        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7059.787579665687     All      0.7338204062422476         -0.06616502940097746       0.4449185196074512         -0.24072690503485483       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5774.154133108624     All      1.1908006182769393         -0.025016169148273093      -0.7096944724556797        -0.42770193164548553       
Check         All|All|All                              All                   All      0.998676903847719          0.9973343007279922         0.0034428907920491802      -0.00028368960300195756    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4460.689853979167     All      -0.00024492840796139367    2.8678219176745877e-05     -0.0011103928196835057     3.957094815684015e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4083.3614424018724    All      -0.00046086560403645727    0.00021766476097208985     -0.00010052143363732411    0.00021653385296424552     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4988.154573695854     All      -5.50558551791919e-05      -2.7811579176677174e-05    -0.0008909663643344007     -3.088537977566716e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7059.787579665687     All      -0.0004530536259168698     4.405768637545224e-05      -0.00034015581893616305    0.00014674591697005462     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5774.154133108624     All      -0.00018026808289689982    1.8324529510413254e-06     -0.00016150093285899442    5.210909056881398e-05      
MWEBV         All|All|All                              All                   All      -0.7372937304442972        -3.74207398481623          0.0402385825749807         -0.9769601200518437        
Redshift      All|All|All                              All                   All      5.584302377474636          0.29488513218183243        5.582609128361038          -1.473811008047994         
