#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7636.782099449019    All      0.1971727372290459         -0.040437420506744814     0.03137053546500259        -0.07599752259839915       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6216.049420056828    All      0.7154225895845813         -0.06380269317247667      -0.08308243229139754       -0.2575268977136741        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6365.640035433278    All      0.5924620212484984         -0.05254341200373602      0.04596682267926491        -0.2080482014805131        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5236.777293747203    All      0.11351988655381436        0.21580940504382085       0.045644780488283375       0.035355978311694236       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4265.254855039852    All      -0.33049856903851654       0.18800426288709815       -0.22600253107781026       0.15880797562474094        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7686.067330335362    All      0.23338475849985324        -0.04813900172502272      0.0366535046357039         -0.09006587299341516       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4250.762439592275    All      -0.6908754216912039        0.48224635133813365       0.08490874727834735        0.3859134434548766         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5239.370495420368    All      0.16599721436932705        0.31588781389420006       0.06544059314334576        0.05174461263371706        
Check         All|All|All                                      All                  All      0.9965852167554001         0.9970253057552725        0.0009000203207400886      0.0001835152390272793      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7636.782099449019    All      -5.40055875876019e-05      9.985507494417165e-06     -1.9006113727291037e-05    1.9995849348983778e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6216.049420056828    All      -0.0001797692395277778     4.486702427051096e-06     -0.00011653785497384281    5.4817672906649e-05        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6365.640035433278    All      -0.00014675435243266798    1.2241677710009676e-05    -3.215515549680633e-05     5.035530092495609e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5236.777293747203    All      3.3312191175518526e-05     4.810397146816929e-05     -0.00011473937680961091    -3.02121931682713e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4265.254855039852    All      -0.00015671590285149727    6.874315040621213e-05     -0.00023936589256476752    6.275763061118446e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7686.067330335362    All      -5.9224087441293654e-05    1.2874140666054223e-05    -4.396318058375706e-06     2.3288577372426844e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4250.762439592275    All      -0.00034171270047262374    0.00010404703593223938    -0.0008004585487387174     0.00010947782254972601     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5239.370495420368    All      2.9286223584380425e-05     2.8925518995113523e-05    -0.0005830294924961866     -2.6135421844053578e-05    
MWEBV         All|All|All                                      All                  All      -0.8004592275984481        -3.940527997386578        0.021827882288321113       -1.0218496253793583        
Redshift      All|All|All                                      All                  All      5.163988373437217          -0.005542232490363119     -0.7117807156467336        -1.71564969510462          
