#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7636.782099449019    All      0.1662505733637119         -0.030349917681604666      0.03293944785678349        -0.06256931162506099       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6216.049420056828    All      0.6904107116933276         -0.06376948957802497       -0.1581734702754023        -0.25271985885963605       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6365.640035433278    All      0.5816500933436053         -0.04652067267993942       0.05103000400326074        -0.2023386499918886        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5236.777293747203    All      0.17972564822643794        0.2199460066108827         0.04763287587254972        0.015226730416607187       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4265.254855039852    All      -0.42355763886576375       0.22080511582691642        -0.3373109173741895        0.19483751107896297        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7686.067330335362    All      0.21472302090533724        -0.03841579161267816       0.0503639089382002         -0.08020812931383778       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4250.762439592275    All      -0.6368386818849453        0.4676508018961911         0.32398114693616975        0.3742263520884012         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5239.370495420368    All      0.22402621526385888        0.2675444756998324         -0.011048170479899255      0.013682300026132688       
Check         All|All|All                                      All                  All      0.9963899420455699         0.9968905284815754         -0.0005851745225271543     0.00013694381968060165     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7636.782099449019    All      -4.8828069823728885e-05    7.643336529568389e-06      -2.1347803075194073e-05    1.7441940499021396e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6216.049420056828    All      -0.00022006742267836259    -2.7676810507684044e-06    -0.00022865342752536783    6.057792249401263e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6365.640035433278    All      -0.00017926390585725968    4.7810516585407836e-06     -0.00010804187866636843    5.5128084735670356e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5236.777293747203    All      3.828074562085476e-05      3.549516693739981e-05      -0.00011488205048517518    -6.0340128989980294e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4265.254855039852    All      -0.00012749180170853065    4.1030629997298976e-05     -0.00030695924998614175    4.1195118715872386e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7686.067330335362    All      -5.016223071798897e-05     1.0537033081214394e-05     3.0844973266701967e-06     1.9909394114969767e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4250.762439592275    All      -0.0002330525456664791     3.774574622224186e-05      -0.000670220313545302      5.8299058284369564e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5239.370495420368    All      -4.9007962603782546e-06    5.769364015620152e-06      -0.0006958310692068077     -2.7576122542454152e-05    
MWEBV         All|All|All                                      All                  All      -0.8184637676729722        -3.9320196024480225        0.02748928229734382        -1.0129608479154117        
Redshift      All|All|All                                      All                  All      4.695373619310732          0.5145865048794107         -1.5185780113878167        -1.4295870690525903        
