#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5343.349091091885     All      1.4691906738549647         0.31566521220103283        -0.2771373264527443       -0.38810855875503514      
Zeropoint     AB|MEGACAMPSF|z           6154.721591862534     All      0.570222865866784          -0.010446106204042849      -0.14080168328013953      -0.1954263200912723       
Zeropoint     AB|MEGACAMPSF|g           3429.1073074206965    All      -0.5356664096594743        0.15511286703056015        -0.40958257048435576      0.20673174740510675       
Zeropoint     AB|MEGACAMPSF|r           4370.0626575702345    All      -0.5142170389947379        0.5394302092843972         0.819637774046834         0.37978424212493533       
Check         All|All|All               All                   All      0.9895300910675366         0.9997621823119474         -0.007883806170405516     0.002981110683734578      
Lambda        AB|MEGACAMPSF|i           5343.349091091885     All      0.0003757197464331339      4.8481230746002186e-05     -0.0009951538044950495    -0.0001510014941051966    
Lambda        AB|MEGACAMPSF|z           6154.721591862534     All      -0.00019073654868178002    1.8339254938132994e-06     -9.123206658962908e-05    5.865527070124239e-05     
Lambda        AB|MEGACAMPSF|g           3429.1073074206965    All      -0.0009102851035430919     0.0002490701929590597      -0.000899977666271482     0.00033747829192930245    
Lambda        AB|MEGACAMPSF|r           4370.0626575702345    All      -0.00015975011986470603    -0.00012265419965417666    -0.0018936351234271355    -7.242087677491473e-05    
MWEBV         All|All|All               All                   All      -0.4418730188793383        -2.4965826772888278        -0.14755024988810958      -0.675871023662593        
Redshift      All|All|All               All                   All      1.998766189721692          0.07567488493069874        1.7431618382797025        -0.5486247990054313       
