#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5343.349091091885     All      1.4612647542003736         0.3253404769948176        0.1611178822385151        -0.3628179567879086        
Zeropoint     AB|MEGACAMPSF|z           6154.721591862534     All      0.6677344967342663         -0.011559867399490997     -0.05712541813787109      -0.22381776756307675       
Zeropoint     AB|MEGACAMPSF|g           3429.1073074206965    All      -0.5249881094338735        0.15467006122218407       -0.36355369821576833      0.2051632944627027         
Zeropoint     AB|MEGACAMPSF|r           4370.0626575702345    All      -0.6148315018963741        0.5316206220085107        0.25587264513670105       0.3848555948822843         
Check         All|All|All               All                   All      0.9891796396043924         1.0000712928260214        -0.0036885889784232795    0.0033831649940015973      
Lambda        AB|MEGACAMPSF|i           5343.349091091885     All      0.00037434424592255357     5.014561865749241e-05     -0.0004297730691973147    -0.00012478095692022585    
Lambda        AB|MEGACAMPSF|z           6154.721591862534     All      -0.00026667445503727517    5.444334771686853e-07     -0.0002085742692913446    7.773427153795755e-05      
Lambda        AB|MEGACAMPSF|g           3429.1073074206965    All      -0.0007491213863910237     0.0002069871722964908     -0.0006748853940633631    0.00028131897710124883     
Lambda        AB|MEGACAMPSF|r           4370.0626575702345    All      -0.00014148454978655698    -0.0001770625956383073    -0.0021221953292437676    -0.00010629277067040602    
MWEBV         All|All|All               All                   All      -0.4487632755379569        -2.497423110084185        -0.17954750110354967      -0.6753282873607214        
Redshift      All|All|All               All                   All      2.191759761763813          0.37172953595572267       1.9857321218817225        -0.5042296172997701        
