#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5574.733186629616     All      0.7711579380068576        0.10645716105539549        -1.630132800645967         -0.2892602510227882       
Zeropoint     AB|SDSS|SDSS_g            4266.265155498532     All      -1.0110461533851292       0.8857372534698982         0.25552578829197703        0.6292477002772079        
Zeropoint     AB|SDSS|SDSS_u            3244.4372670170164    All      -0.005165631978879592     0.010203180052492655       0.05291441855193035        0.007367455170353976      
Zeropoint     AB|SDSS|SDSS_z            8037.478768920798     All      0.17459197571283597       0.015432756334377018       0.4201685841584979         -0.033093199787864735     
Zeropoint     AB|SDSS|SDSS_i            6760.338352916199     All      1.068804715477106         -0.015989766118451598      0.9400238444651876         -0.31140430452893386      
Check         All|All|All               All                   All      0.9983428438327908        1.0018405847937117         0.03849983482162589        0.0028574001079750833     
Lambda        AB|SDSS|SDSS_r            5574.733186629616     All      0.00020544159529916793    3.7050701211770756e-05     -0.00027893886318029585    -6.729821444400577e-05    
Lambda        AB|SDSS|SDSS_g            4266.265155498532     All      -0.0008474093800337338    0.0005686444739187692      -0.0006784117278106173     0.000430980927440537      
Lambda        AB|SDSS|SDSS_u            3244.4372670170164    All      -4.097109072798041e-06    7.374103745129619e-06      3.962090886317435e-05      5.5046505968021325e-06    
Lambda        AB|SDSS|SDSS_z            8037.478768920798     All      3.918609368342788e-05     1.6719057996039205e-05     0.0002266564794209096      2.7963850140963992e-06    
Lambda        AB|SDSS|SDSS_i            6760.338352916199     All      -0.0006127822166665078    -5.7153409861887945e-05    -0.0013465619712761223     0.0001208957057784336     
MWEBV         All|All|All               All                   All      -0.649431914036851        -3.6226311119552435        0.10500288343513464        -0.9637829976833157       
Redshift      All|All|All               All                   All      3.2057777801908887        -0.5804402084669036        -3.400184894358116         -1.385030397128617        
