#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5574.733186629616     All      0.8740521845819358         0.22270498558683016       -0.6248640381634812       -0.2400500235255709       
Zeropoint     AB|SDSS|SDSS_g            4266.265155498532     All      -0.9200396694925306        0.755307903568081         -0.14190011800919575      0.539383471300766         
Zeropoint     AB|SDSS|SDSS_u            3244.4372670170164    All      -0.04248532317873771       0.04204213700269577       0.1251103797719562        0.033116476289964655      
Zeropoint     AB|SDSS|SDSS_z            8037.478768920798     All      0.15240022073030998        -0.002672440931661413     0.16215012566796627       -0.043276252262364825     
Zeropoint     AB|SDSS|SDSS_i            6760.338352916199     All      0.9320343655841561         -0.016529147687727175     0.4903880154046065        -0.28709457822848605      
Check         All|All|All               All                   All      0.9959617782251335         1.0008534375382183        0.010884364671851943      0.00207909357430891       
Lambda        AB|SDSS|SDSS_r            5574.733186629616     All      -1.2671685697023793e-06    1.0960178836469305e-05    0.00019850731007775953    1.284131885564324e-05     
Lambda        AB|SDSS|SDSS_g            4266.265155498532     All      -0.0006288095916535778     0.00022328456872264057    -0.0016980405155640746    0.00020177935170812385    
Lambda        AB|SDSS|SDSS_u            3244.4372670170164    All      -2.6653979025370197e-05    2.6319709097337136e-05    7.81073673417011e-05      2.0740846074436607e-05    
Lambda        AB|SDSS|SDSS_z            8037.478768920798     All      1.9704685916660818e-05     2.0483757805282474e-06    5.181531824331475e-05     -3.438961412637931e-06    
Lambda        AB|SDSS|SDSS_i            6760.338352916199     All      -0.0005989552843930299     7.03350060471805e-06      -0.0005097599586037332    0.0001746422380029435     
MWEBV         All|All|All               All                   All      -0.7048107799078425        -3.568503600511974        0.21845858211942584       -0.9230501611901533       
Redshift      All|All|All               All                   All      3.1787432775075644         0.47964304899714705       -5.139753450792407        -1.1085493326609046       
