#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5299.20528869465      All      0.025831258528840204       0.38391705261116016        -1.7655786138013632        0.0378506592806297         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8115.001936044038     All      0.09655712264533765        -0.009846352260023394      0.21698886775260795        -0.024975895773046826      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3604.4487188139715    All      -0.3177116341471003        0.17182211631263655        0.08205120937686476        0.16311881633367015        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3600.0368436432404    All      -0.07072896666846651       0.0010463526370685372      -0.3769974818309719        0.006555916708368693       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4301.163548182047     All      -0.33865583295111795       -0.0181236293078868        -2.3988031997518995        -0.0026396855774524683     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5308.494778000455     All      -0.16358883958624984       -0.041034139378748336      -1.8292090288440008        -0.04170909991665363       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8185.168561467361     All      0.0740700752714459         -0.010382884321291641      0.24054743628724104        -0.01677458007211255       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6755.801425549798     All      0.4011714630130214         -0.0261281214557485        1.1659551191079565         -0.08715431047263189       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4328.160002774854     All      -0.08875954094220073       0.3707577325691602         2.212375038544606          0.24840803055113098        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6272.619505132278     All      0.04264113550128057        -0.05940525721532808       -1.3406124712442897        -0.09306524471566005       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5321.583278526636     All      0.45211576126202196        0.0627554578013445         1.6890647763887545         -0.05145225703433814       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6250.0214454218385    All      0.4859037161383833         0.0734033348066987         -0.7242348721552632        -0.1666842211130149        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8102.983414540568     All      0.28598571172791776        -0.030596461276033438      0.9011019792105394         -0.06290918627104472       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4344.118379912228     All      0.08963671788700833        0.12333331259792857        1.7901932549869295         0.09086419239222462        
Check         All|All|All                                  All                   All      0.9744681476801218         0.9915185141209371         -0.13715798597228734       -0.0005668656799310001     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5299.20528869465      All      2.9110269044525076e-05     9.90902668174888e-05       -0.0003401513866412611     7.615393421208778e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8115.001936044038     All      2.9685846992846373e-06     -3.118837690927087e-07     6.299699299911703e-06      -7.87429858074737e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3604.4487188139715    All      -0.00029871506560807075    0.0001760681046704686      0.00035999485829011355     0.00017071741559097228     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3600.0368436432404    All      -0.00021668487210891398    2.851030207826761e-06      -0.0011622096471468957     1.9645987184891208e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4301.163548182047     All      -0.00038874566905933925    -2.100245389380056e-05     -0.0027595820696876797     -3.3614098963105875e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5308.494778000455     All      -0.00015884633734402148    -4.0377345507175086e-05    -0.0017893708425226324     -4.1262154263437865e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8185.168561467361     All      -8.667147953196674e-06     1.1851084450704496e-06     -2.712105666535581e-05     1.9989158420564748e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6755.801425549798     All      -0.00011601933247204665    7.856985153633223e-06      -0.00034002608269765753    2.5176789672997003e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4328.160002774854     All      -1.6431413259630285e-06    4.9341002149164894e-05     0.0003688778602290819      3.3068537565639134e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6272.619505132278     All      -3.2304160592894358e-06    3.908246064809848e-06      8.563164371582284e-05      6.146644075950167e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5321.583278526636     All      0.00012816273496500826     1.5408700501905938e-05     0.0004725452493513403      -1.564017436546211e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6250.0214454218385    All      -0.0001430048638485874     -1.875308095953894e-05     0.0001343544021200748      4.6468513348370915e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8102.983414540568     All      -4.1796714739032666e-05    4.504847937373224e-06      -0.00012983137318091356    9.288164348736394e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4344.118379912228     All      1.0995380052967029e-05     1.9181695039314214e-05     0.00029219681137960965     1.5705953793274825e-05     
MWEBV         All|All|All                                  All                   All      -0.97970484376052          -3.923655466753928         0.26332283269004675        -0.9471906823826944        
Redshift      All|All|All                                  All                   All      5.271095657878059          -0.29610587114756726       9.449736496088121          -1.391722354743177         
