#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5299.20528869465      All      0.035492716715452455       0.39563989819004775        -1.9313749973696726        0.031123389848517966       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8115.001936044038     All      0.09666891847929726        -0.012433096704889124      0.22673560072722365        -0.025419947193666692      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3604.4487188139715    All      -0.3209837808154028        0.17150528048617275        0.09733340461411943        0.16476343248655045        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3600.0368436432404    All      -0.06736439925134928       0.0019908901601084494      -0.3791798877559871        0.005670242602243483       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4301.163548182047     All      -0.35767039490909247       -0.017610457215511133      -2.6215782498711704        -0.006220287471911737      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5308.494778000455     All      -0.09302738302449244       -0.03706286978779616       -1.26425895256842          -0.038188587382793904      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8185.168561467361     All      0.0699821998737814         -0.010958638700309109      0.1995470496556795         -0.01746022565839167       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6755.801425549798     All      0.3775801107128277         -0.02738965693680484       0.938057528365055          -0.09005077728456677       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4328.160002774854     All      -0.1240805095840809        0.377265323221998          2.0767500156905316         0.2559806465653687         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6272.619505132278     All      0.08828165003398453        -0.053912495384267345      -0.6996361370225634        -0.07753885869392282       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5321.583278526636     All      0.39234171894253966        0.054632064413162595       1.3258549125245822         -0.05083632948322779       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6250.0214454218385    All      0.48481162069140293        0.06828105495699788        -0.8218220251119512        -0.1723518511969845        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8102.983414540568     All      0.2848923394692837         -0.03576156266014152       0.8132372957666334         -0.06815647967732784       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4344.118379912228     All      0.11600098309253426        0.11407482233671828        1.9581195687518815         0.08675446910853153        
Check         All|All|All                                  All                   All      0.982925790426686          0.9882605563754865         -0.08221487360405844       -0.0019311634315816173     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5299.20528869465      All      2.7504153362737795e-05     0.00010953430681485468     -0.00047144678631780404    5.681414894650726e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8115.001936044038     All      2.195958219688739e-06      -2.3202243816114136e-07    6.775826680894999e-06      -4.884991539307054e-07     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3604.4487188139715    All      -0.00031522631853045466    0.00018917492170776105     0.0004867189548719334      0.00018602010979012072     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3600.0368436432404    All      -0.0002559018499594238     1.649568210105463e-06      -0.0015426468889246287     1.5051724555978856e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4301.163548182047     All      -0.0004218524870744041     -2.0013817378706284e-05    -0.00307846010180087       -6.485460668085151e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5308.494778000455     All      -9.98119118999153e-05      -3.995990139661674e-05     -0.0013599464212866884     -4.1192393880448786e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8185.168561467361     All      -5.337856381946408e-06     1.1566026143136028e-06     -6.2888524146473e-06       1.8348163568251893e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6755.801425549798     All      -0.0001033782824475539     8.454759604702947e-06      -0.00026924644940571333    2.441246856145737e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4328.160002774854     All      -1.0212042743802641e-05    6.477486644128854e-05      0.00044297370294250796     4.4193585175314253e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6272.619505132278     All      2.890910209916187e-06      1.0723099262181238e-06     4.2077237406011e-05        1.2853359090962356e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5321.583278526636     All      0.0001277654667813943      1.10296984944763e-05       0.00040810746821780145     -1.9812718286996484e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6250.0214454218385    All      -0.00011539644364106818    -1.7724929345022987e-05    0.00023218235702449145     4.217605772260604e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8102.983414540568     All      -3.6141041218777915e-05    5.16897092218812e-06       -8.277808416669371e-05     9.762024302973614e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4344.118379912228     All      1.1540030485529562e-05     2.0385934741277984e-05     0.00038445994938043226     2.00380838178722e-05       
MWEBV         All|All|All                                  All                   All      -0.9982854833049388        -3.92330043116651          0.2018850674570749         -0.9437643953159452        
Redshift      All|All|All                                  All                   All      5.339347339962195          -0.5060643911949825        10.75997081077713          -1.423874830645183         
