#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            4852.140230503861     All      1.603876590747023          0.4925320549853396        1.3287384715639168        -0.30270598213596966      
Zeropoint     AB|SDSS|SDSS_z            5768.790266197003     All      0.3995851118734842         0.08483485876080721       0.2880096095082795        -0.0896719663224895       
Zeropoint     AB|SDSS|SDSS_g            3062.05336395059      All      -0.5327624930747362        0.06092943049242905       0.551123922558369         0.2179791208331146        
Zeropoint     AB|SDSS|SDSS_r            4001.1883661861816    All      -0.4838722393120143        0.3598719608740808        -2.1559198926641576       0.17862644133260763       
Check         All|All|All               All                   All      0.9868269702337569         0.9981683051126566        0.01195211096640758       0.004227613707263045      
Lambda        AB|SDSS|SDSS_i            4852.140230503861     All      -0.0002255127681738541     -8.090730191836312e-05    -0.0006053856275843939    2.0087177614471988e-05    
Lambda        AB|SDSS|SDSS_z            5768.790266197003     All      -4.9456169758265356e-05    -9.98700139178497e-06     -3.330924808536958e-05    1.1369967875825653e-05    
Lambda        AB|SDSS|SDSS_g            3062.05336395059      All      -0.001560738329338176      0.00016772435337233246    0.0014371322411815806     0.0006271497719063144     
Lambda        AB|SDSS|SDSS_r            4001.1883661861816    All      -0.0004779949445545339     0.0002538704749482475     -0.002126933007230739     0.00014347739332643979    
MWEBV         All|All|All               All                   All      -0.5780251196953643        -2.2162918739672577       0.562332242624057         -0.5085430739519211       
Redshift      All|All|All               All                   All      4.0061880048985135         0.552642129651737         -0.4096487509116783       -1.1432142521568978       
