#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5388.04134660027     All      0.4484481753695127         0.48315448615436907       -0.3784245426576647       -0.00558236207141489       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7564.221634708351    All      0.4350941791747407         -0.12632588766727793      0.23979732937666598       -0.1721719324812428        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4356.810207141678    All      -1.1270284795481755        0.7766961946613193        0.024983464445848116      0.6212206543448131         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6208.716881616018    All      1.2413012356177247         -0.1356106145101066       0.11513534453127974       -0.44336752701206705       
Check         All|All|All                                All                  All      0.9978151106138022         0.9979141786383039        0.0014915956961291665     9.883278008837593e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5388.04134660027     All      -1.141056950318391e-05     0.00010998046359568986    -0.0016698078130953627    -3.4974800421886304e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7564.221634708351    All      -0.00012895074325451793    3.6156004391162554e-05    -0.0002299009497997073    4.352127606616306e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4356.810207141678    All      -0.0005503282406931777     0.0002463994845166388     -0.0007329247952831896    0.00022681336425277513     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6208.716881616018    All      -0.00029610135211540633    4.001012454089683e-05     -0.0003880975403358993    9.21635549284316e-05       
MWEBV         All|All|All                                All                  All      -0.8829285244490341        -4.063664336644202        0.04410300429100546       -1.034102182608241         
Redshift      All|All|All                                All                  All      6.029911248320289          -0.8844466524712047       4.832856881744201         -2.036565637782586         
