#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5388.04134660027     All      0.5136012534403701         0.47027019718859364       -0.5835937794811397        -0.040157460599574146     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7564.221634708351    All      0.35209233884875346        -0.09494597395054427      0.16918254978341984        -0.138065245432889        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4356.810207141678    All      -1.1715387948857279        0.7554574730066932        0.14684272036689094        0.6342389969324708        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6208.716881616018    All      1.3001659046044067         -0.13284849412524835      0.26346510138983703        -0.4550226970160415       
Check         All|All|All                                All                  All      0.9943207020078023         0.9979332021194942        -0.004103407940991843      0.0009935938839661373     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5388.04134660027     All      1.578976527069533e-05      3.5267625243786545e-06    -0.0015434626960587586     -7.287211469262756e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7564.221634708351    All      -0.00011032708850273836    3.091732145832208e-05     -0.00011902276634612042    4.069651171714721e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4356.810207141678    All      -0.0005607727784576795     0.00019807487318279735    -0.0010294755262508814     0.00020124088095899222    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6208.716881616018    All      -0.00019961932628353272    2.535464468549262e-05     1.1314312929902487e-05     7.3786329589714e-05       
MWEBV         All|All|All                                All                  All      -0.8956851387980453        -4.058466998458599        0.051218791817086995       -1.0279364446845642       
Redshift      All|All|All                                All                  All      5.822021297820766          -0.5002191734478245       6.3641058641971116         -1.7753609015874874       
