#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4270.081694997788     All      -0.22285584162491875       0.1272831335273672        -0.15771421112680262       0.10701372254980912        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6085.123529630535     All      0.6940011080371427         -0.0489414702871116       0.010747373229424984       -0.24152123393870462       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4269.044316934068     All      -0.6903592588426924        0.4948845800287316        0.05628010651342885        0.3885844343530176         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5261.9042243940985    All      0.0552267726831171         0.3136065312332015        0.04701967511263616        0.08626105994805067        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5280.78470994568      All      0.06557443093530649        0.29427391523455526       0.040176303593308926       0.07628782993209515        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6242.783695298732     All      0.5767551144277184         -0.06094679670987091      -0.08474794701773813       -0.21150240386938746       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7719.123927162597     All      0.20167587933647965        -0.054514409312567125     -0.00743641522866767       -0.08378145848057794       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7413.645030102186     All      0.3199047460876139         -0.07178257043065628      0.08290265092822935        -0.12388588056713445       
Check         All|All|All                                All                   All      0.999922951039767          0.9938629132836496        -0.01277246399618015       -0.0025439300728319347     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4270.081694997788     All      -9.786456551660361e-05     3.5467485165877116e-05    -0.00018562073468595126    3.514723453762391e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6085.123529630535     All      -0.00017944587548962025    -4.940295622936699e-06    -0.0002560906894762655     4.54140571362981e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4269.044316934068     All      -0.00023614267463750933    0.00011296853077505361    -0.00027958600112446355    0.0001012403658822513      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5261.9042243940985    All      -1.4705894074784567e-05    3.241374883222738e-05     -0.000617105170645712      -1.2190151619365018e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5280.78470994568      All      -7.21225842384292e-05      5.3445221458062955e-05    -0.0003102637721543729     2.7055918212163866e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6242.783695298732     All      -0.00013748123830273937    -1.528441004752102e-05    -0.00018898351136076942    3.1370060976805514e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7719.123927162597     All      -5.4821395747518986e-05    1.3241107755543909e-05    -9.273367771752948e-06     2.175636876818656e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7413.645030102186     All      -0.00011412463289967267    3.23464567377925e-06      -0.00020784924429373622    2.8952420881175916e-05     
MWEBV         All|All|All                                All                   All      -0.8108896868164654        -3.9610348965766207       0.04752034160675489        -1.0239853169250912        
Redshift      All|All|All                                All                   All      6.556496015040766          0.5497490821571027        2.9275175619215554         -1.8259534289577883        
