#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5041.630418572457    All      0.2911933072041848        0.6587825597702768        2.562746202994859         0.23409950566006116       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7077.898522518289    All      0.9332825795006171        -0.09173361030319072      1.3190268914387016        -0.2750193829565817       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4076.699760689871    All      -1.0065170324776158       0.5147704611671244        -0.6118848090348017       0.4682277768100887        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5809.54262914306     All      0.775993166104054         -0.08473583346546576      -3.293116411882968        -0.4273244130284973       
Check         All|All|All                                All                  All      0.9939520203312404        0.9970835771687447        -0.023228126484209355     -1.651351492909514e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5041.630418572457    All      -0.0001895051990559144    -0.0001221188347610557    -0.001399018343030441     -4.048180739423834e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7077.898522518289    All      -0.0006919533789225779    6.479574327756815e-05     -0.0017562049412192418    0.00016812672483814659    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4076.699760689871    All      -0.0005091092368246999    0.00021278252782863617    -0.0005704662102041508    0.0002096866103763412     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5809.54262914306     All      -0.0003259304817593778    -6.491165975062001e-05    -0.0011584491477330053    3.332615269359482e-05     
MWEBV         All|All|All                                All                  All      -0.7657583247102839       -3.7127670058805684       0.10015811572170463       -0.9554680844678864       
Redshift      All|All|All                                All                  All      9.35506432687336          1.1429449624085208        29.708172182431092        -1.3492181679061175       
