#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5041.630418572457    All      0.17643463694551165        1.1246140507694236        1.2660299624202949        0.3653503318161213        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7077.898522518289    All      0.992589609536469          -0.6844130819857241       2.880470567629173         -0.4177127764680771       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4076.699760689871    All      -0.9078717858915957        0.09796895065079525       0.44586347488837375       0.3475322581765792        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5809.54262914306     All      0.7315871063395037         0.46268924987344917       -4.6893023896436725       -0.2968509067906312       
Check         All|All|All                                All                  All      0.992739566929889          1.0008591693079438        -0.0969383847058305       -0.0016810932660077937    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5041.630418572457    All      -0.00012571005734105038    3.505198490096236e-05     -0.0011851476717623037    -5.222113320595723e-07    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7077.898522518289    All      -0.000669587968487611      0.0005365576769097862     -0.0030179586575566977    0.0002582036838150259     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4076.699760689871    All      -0.0006700045539400699     5.432500468961052e-05     0.00021292546182876968    0.0002454398524104957     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5809.54262914306     All      -0.00020295664048360063    -4.642793007358253e-05    -0.0007473516623069407    1.763567839542907e-05     
MWEBV         All|All|All                                All                  All      -0.740127337048841         -3.770588013281184        0.22213950261244778       -0.9772076756919993       
Redshift      All|All|All                                All                  All      8.134730595288739          -2.066634046074789        28.39753707550305         -2.055668424110622        
